Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
8,Arsenal,38,18,7,13,55,39,+16,61,1.61,51.7,43.0,+8.8,+0.23,25.9,53.5,53,38,91,47,6,6,49,5,1.39,1.00,2.39,1.24,35.1,1.24,2.16,1.03,129,93,71.3,12,31.6,36.0,0.26,81,303,26.7,1021,206,16.7,28.2,238,55.5,42.3,518,24,4.6,37,0.97,,453,140,30.9,11.92,3.68,0.10,0.34,17.7,412,30.6,10.84,3.32,0.08,0.26,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,332,1377,325,67,1760,20122,1624,440,34,133,751,663,207,61,813,21.39,813,21.39,623,44,49,45,46,6,95,2.50,69,2,8,6,8,2,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,87,2835577,147450000
11,Aston Villa,38,16,7,15,55,46,+9,55,1.45,52.5,51.1,+1.5,+0.04,25.2,48.5,52,38,90,47,5,6,71,4,1.37,1.00,2.37,1.24,37.4,1.26,2.25,1.21,186,133,78.0,15,39.5,49.2,0.24,247,639,38.7,1056,177,45.0,37.1,256,64.1,46.9,613,42,6.9,34,0.89,14.2,514,178,34.6,13.53,4.68,0.09,0.26,17.3,532,33.8,14.00,4.74,0.08,0.22,12940,16998,76.1,235952,93019,5731,6656,86.1,5222,6209,84.1,1571,3074,51.1,403,1086,323,76,1420,15004,1923,590,12,127,779,780,213,71,940,24.74,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,38.0,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403,79,1194481,62113024
16,Brighton,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,+15.6,+0.41,25.8,51.1,39,24,63,33,6,9,49,6,1.03,0.63,1.66,0.87,33.2,1.15,2.03,1.21,125,81,68.0,12,31.6,35.9,0.24,193,522,37.0,1280,179,32.1,28.8,233,47.6,39.1,476,28,5.9,33,0.87,10.6,478,134,28.0,12.58,3.53,0.07,0.25,17.4,351,33.9,9.24,3.13,0.11,0.32,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,358,1132,358,80,1516,18111,1708,404,17,164,686,769,219,52,847,22.29,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,685,468,131,549,306,15634,1495,87,991902,51578900
17,Burnley,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.40,28.3,42.1,32,20,52,29,3,3,48,0,0.84,0.53,1.37,0.76,27.7,0.97,1.70,1.45,179,125,70.9,11,28.9,49.1,0.26,317,841,37.7,846,143,69.1,54.5,298,85.9,59.7,600,34,5.7,78,2.05,10.0,381,124,32.5,10.03,3.26,0.08,0.23,17.4,567,31.0,14.92,4.63,0.09,0.29,10825,15562,69.6,196816,82192,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,267,923,292,80,1012,13737,1745,461,10,110,772,721,172,80,666,17.53,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,38.0,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,389,340,75,503,278,10755,1002,74,706750,36751000
4,Chelsea,38,19,10,9,58,36,+22,67,1.76,62.4,30.3,+32.1,+0.85,26.0,60.9,56,38,94,48,8,10,51,3,1.47,1.00,2.47,1.26,41.5,1.43,2.53,0.95,107,71,69.2,18,47.4,31.4,0.26,93,253,36.8,1066,169,17.7,25.4,231,27.7,26.6,412,20,4.9,31,0.82,15.2,546,193,35.3,14.37,5.08,0.09,0.25,17.1,332,31.0,8.74,2.71,0.10,0.31,21969,25799,85.2,360450,112392,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,448,1441,377,70,1798,24055,1665,402,29,154,749,732,226,79,1018,26.79,1018,26.79,790,81,42,55,43,7,95,2.50,69,6,4,6,10,0,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787,82,2842538,147811988
14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,29.1,40.6,39,29,68,36,3,4,56,2,1.03,0.76,1.79,0.95,23.6,0.82,1.44,1.74,174,107,63.8,8,21.1,51.2,0.28,226,669,33.8,775,158,51.0,48.9,323,84.8,56.3,622,20,3.2,26,0.68,23.3,345,127,36.8,9.08,3.34,0.10,0.28,17.6,535,31.8,14.08,4.47,0.12,0.37,11627,15597,74.5,193706,81274,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,264,838,232,54,1132,13707,1823,473,8,47,533,772,151,67,618,16.26,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,38.0,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524,1113,87,1706442,88735000
10,Everton,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,26.3,46.4,45,32,77,41,4,5,59,2,1.18,0.84,2.03,1.08,30.7,1.10,1.91,1.26,161,114,72.0,12,31.6,47.8,0.28,268,692,38.7,1092,177,47.6,35.6,271,63.5,47.7,560,25,4.5,35,0.92,12.3,395,143,36.2,10.39,3.76,0.10,0.29,17.2,501,31.5,13.18,4.16,0.09,0.28,14792,18696,79.1,263227,93921,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,300,944,257,60,1184,17021,1610,426,28,121,662,660,167,65,710,18.68,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,38.0,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177,87,1770635,92073000
18,Fulham,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,25.2,49.7,26,18,44,23,3,6,67,3,0.68,0.47,1.16,0.61,26.3,0.95,1.64,1.39,170,118,72.9,9,23.7,54.5,0.29,150,402,37.3,800,179,32.5,30.2,258,55.0,39.5,518,27,5.2,33,0.87,14.0,436,125,28.7,11.47,3.29,0.05,0.18,18.3,421,38.7,11.08,4.29,0.11,0.28,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,334,1019,290,94,1354,17703,1766,469,17,109,710,784,164,43,785,20.66,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,38.0,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338,89,1003247,52168824
9,Leeds United,38,18,5,15,62,54,+8,59,1.55,55.6,57.9,-2.2,-0.06,26.1,57.3,60,45,105,56,4,4,61,1,1.58,1.18,2.76,1.47,41.9,1.38,2.48,1.42,198,145,76.8,12,31.6,49.9,0.21,105,319,32.9,1166,306,19.1,27.4,298,32.2,28.9,477,28,5.9,20,0.53,11.9,518,193,37.3,13.63,5.08,0.11,0.29,16.9,549,34.4,14.45,4.97,0.08,0.23,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,394,1110,349,68,1633,18658,1895,467,27,205,786,809,229,76,924,24.32,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,38.0,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,85,465123,24186400
5,Leicester City,38,20,6,12,68,50,+18,66,1.74,55.8,46.0,+9.8,+0.26,26.5,54.3,64,45,109,54,10,12,61,0,1.68,1.18,2.87,1.42,33.7,1.22,2.11,1.32,136,88,66.2,11,28.9,42.2,0.29,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.50,13.6,473,170,35.9,12.45,4.47,0.11,0.32,18.6,366,36.1,9.63,3.47,0.12,0.33,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,360,1209,283,57,1464,19423,1722,474,35,92,649,738,212,71,863,22.71,863,22.71,635,49,56,46,54,23,114,3.00,85,3,8,4,10,4,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,38.0,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,666,481,142,549,322,16883,1455,80,1490885,77526000
