Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
5,Arsenal,38,21,7,10,73,51,+22,70,1.84,60.1,54.2,+5.8,+0.15,26.7,58.1,69,52,121,65,4,5,74,2,1.82,1.37,3.18,1.71,46.7,1.47,2.70,1.34,182,132,75.8,8,21.1,53.5,0.26,159,478,33.3,1093,227,29.2,31.7,280,56.8,45.5,489,16,3.3,48,1.26,12.9,462,159,34.4,12.16,4.18,0.14,0.41,16.7,492,35.6,12.95,4.61,0.09,0.25,18425,22549,81.7,313400,105044,8573,9619,89.1,7384,8450,87.4,1716,2882,59.5,363,1220,417,63,1874,20518,1942,543,65,152,605,823,209,89,831,21.87,831,21.87,655,58,50,34,22,12,116,3.05,91,6,5,6,7,1,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,38.0,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14890,82862,44451,868,591,203,564,409,18303,1869,91,2603077,135360000
14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.10,26.6,46.9,55,43,98,48,7,9,60,1,1.45,1.13,2.58,1.26,38.8,1.22,2.24,1.84,173,106,62.4,10,26.3,55.2,0.30,191,512,37.3,744,203,40.9,36.6,318,65.4,48.7,596,28,4.7,30,0.79,14.3,437,153,35.0,11.50,4.03,0.11,0.31,17.4,516,32.6,13.58,4.42,0.12,0.37,13505,17650,76.5,231203,91075,6643,7752,85.7,5284,6436,82.1,1261,2489,50.7,330,979,330,76,1435,15632,1961,512,57,84,613,832,191,57,788,20.74,788,20.74,558,83,46,39,47,15,99,2.61,64,9,8,6,9,3,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,38.0,22079,2437,7561,9507,5257,847,22071,578,291,50.3,287,49.7,13210,69260,36536,738,532,172,565,356,13405,1422,82,1013269,52690000
17,Brighton,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,27.4,42.4,35,24,59,30,5,6,62,4,0.92,0.63,1.55,0.79,24.5,0.81,1.45,1.58,170,110,70.6,7,18.4,55.9,0.28,328,822,39.9,776,109,62.8,42.7,358,93.6,59.4,561,20,3.6,13,0.34,11.6,364,99,27.2,9.58,2.61,0.08,0.30,17.9,573,27.9,15.08,4.21,0.09,0.31,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,281,887,223,81,1150,13912,1822,330,15,188,636,880,156,90,647,17.03,647,17.03,427,87,40,35,45,13,55,1.45,29,9,1,7,8,1,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,38.0,20254,2464,7030,9055,4366,581,20249,516,269,52.1,247,47.9,10122,54122,26537,475,374,98,590,336,11393,1138,93,823481,42821000
15,Burnley,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.46,28.0,41.2,43,32,75,41,2,2,75,1,1.13,0.84,1.97,1.08,31.2,1.13,1.95,1.79,199,134,66.8,8,21.1,58.0,0.28,381,957,39.8,848,95,74.6,48.2,353,91.8,63.0,643,14,2.2,43,1.13,16.4,358,112,31.3,9.42,2.95,0.11,0.37,15.8,650,30.2,17.11,5.16,0.10,0.32,10134,14793,68.5,194079,85014,4537,5520,82.2,3643,4790,76.1,1595,3463,46.1,254,879,239,82,1032,12804,1883,395,35,108,692,891,139,106,624,16.42,624,16.42,417,81,14,55,52,5,69,1.82,45,8,0,13,3,0,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,38.0,19189,2542,6104,8875,4395,634,19186,370,207,55.9,163,44.1,7936,43013,21370,421,336,72,525,314,10031,1020,83,851212,44263000
18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.50,27.7,35.4,33,20,53,30,3,4,66,1,0.87,0.53,1.39,0.79,27.6,1.03,1.76,1.82,207,135,68.6,10,26.3,68.2,0.30,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4,413,113,27.4,10.87,2.97,0.07,0.27,17.7,564,35.5,14.84,5.26,0.12,0.33,7170,11715,61.2,138500,66941,3143,4097,76.7,2540,3622,70.1,1160,2987,38.8,294,768,175,57,918,9823,1815,423,39,60,562,799,168,77,693,18.24,693,18.24,457,96,32,57,47,4,50,1.32,32,4,3,9,2,0,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,38.0,16261,2228,5452,6544,4470,713,16257,475,260,54.7,214,45.1,6221,39405,19337,434,310,135,519,332,7078,902,92,634423,32990000
3,Chelsea,38,21,9,8,63,39,+24,72,1.89,58.6,36.4,+22.2,+0.58,27.3,62.9,61,52,113,56,5,5,49,0,1.61,1.37,2.97,1.47,44.9,1.44,2.62,1.03,124,84,69.4,16,42.1,36.8,0.28,123,250,49.2,950,165,15.9,29.5,272,36.4,37.1,395,16,4.1,35,0.92,5.8,602,192,31.9,15.84,5.05,0.09,0.29,17.8,347,35.2,9.13,3.21,0.11,0.31,22960,26774,85.8,357355,116569,12272,13378,91.7,7956,8992,88.5,1700,2561,66.4,482,1640,415,65,2155,24894,1797,471,146,216,692,762,215,83,1131,29.76,1131,29.76,892,58,61,45,54,21,114,3.00,82,5,13,7,6,1,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,38.0,30774,2105,7613,14434,8968,1029,30769,703,449,63.9,253,36.0,18388,103404,58308,1058,897,251,512,458,22820,2135,103,3028981,157507000
12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,47.6,50.1,-2.5,-0.07,27.4,45.2,48,33,81,38,10,11,59,2,1.26,0.87,2.13,1.00,29.5,1.03,1.81,1.39,163,110,69.9,12,31.6,46.7,0.26,245,769,31.9,793,159,58.6,43.6,347,87.6,60.4,635,27,4.3,25,0.66,13.6,482,135,28.0,12.68,3.55,0.08,0.28,18.4,520,30.4,13.68,4.16,0.09,0.30,12697,16870,75.3,222304,89991,6129,7072,86.7,4802,5866,81.9,1371,2862,47.9,358,1003,275,63,1458,14898,1894,435,26,101,577,816,205,78,860,22.63,860,22.63,606,72,55,63,50,14,86,2.26,51,6,7,8,13,1,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,38.0,21679,2323,7079,9743,5112,889,21668,667,377,56.5,290,43.5,10553,62673,32736,771,496,227,576,473,12599,1448,86,1436558,74701000
8,Everton,38,15,9,14,54,46,+8,54,1.42,49.7,45.7,+4.0,+0.10,25.7,51.5,53,34,87,51,2,5,57,4,1.39,0.89,2.29,1.34,33.7,1.20,2.09,1.21,136,89,67.6,14,36.8,45.3,0.30,253,724,34.9,979,152,54.0,42.3,291,67.0,53.7,431,14,3.2,40,1.05,17.3,493,163,33.1,12.97,4.29,0.10,0.31,16.9,398,32.9,10.47,3.45,0.11,0.32,13878,18477,75.1,242908,92894,6427,7566,84.9,5206,6428,81.0,1589,3045,52.2,353,1102,298,94,1581,16376,2032,495,44,140,814,947,215,69,845,22.24,845,22.24,573,88,57,61,56,10,93,2.45,65,5,8,12,3,0,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,38.0,23015,2175,6887,10485,5873,856,23011,587,328,55.9,258,44.0,12685,66255,34030,697,522,166,693,469,13764,1566,90,1648212,85707000
19,Fulham,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,26.0,48.8,33,24,57,31,2,3,72,2,0.87,0.63,1.50,0.82,30.0,1.03,1.82,2.13,226,146,66.4,5,13.2,72.4,0.30,332,777,42.7,834,137,57.7,37.3,356,83.1,54.8,629,9,1.4,42,1.11,16.0,451,140,31.0,11.87,3.68,0.07,0.22,19.0,580,37.9,15.26,5.79,0.13,0.34,15096,19303,78.2,265652,102124,7060,7958,88.7,6054,7206,84.0,1538,3015,51.0,350,1106,233,69,1487,17396,1817,412,33,145,611,769,161,90,814,21.42,814,21.42,601,73,47,56,28,9,59,1.55,42,3,6,5,3,0,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,38.0,23757,2587,7287,11921,4743,592,23754,566,352,62.2,214,37.8,10604,61784,30746,628,461,117,594,486,14992,1471,82,979212,50919000
20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,26.2,47.2,21,13,34,20,1,1,57,4,0.55,0.34,0.89,0.53,19.9,0.74,1.26,2.00,186,110,62.9,5,13.2,61.1,0.29,339,815,41.6,1062,109,55.9,40.7,281,78.6,56.0,426,30,7.0,34,0.89,13.3,400,116,29.0,10.53,3.05,0.05,0.17,19.1,514,34.6,13.53,4.68,0.13,0.38,13045,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,283,1023,208,93,1248,15783,1931,444,22,130,768,930,162,63,683,17.97,683,17.97,487,74,27,43,37,15,33,0.87,23,4,0,3,3,0,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,38.0,21977,2079,6878,10026,5306,600,21976,443,230,51.9,213,48.1,10888,56003,26785,601,496,108,567,399,12938,1233,86,675288,35115000
