Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
5,Arsenal,38,22,3,13,61,48,+13,69,1.82,60.5,45.7,+14.9,+0.39,24.4,52.8,60,41,101,55,5,8,67,4,1.58,1.08,2.66,1.45,40.2,1.45,2.51,1.26,147,100,70.7,13,34.2,47.6,0.29,151,533,28.3,1037,175,36.0,33.8,251,63.7,48.3,487,32,6.6,61,1.61,7.3,581,186,32.0,15.29,4.89,0.09,0.30,17.8,419,33.9,11.03,3.74,0.10,0.30,16176,19843,81.5,280868,91114,7325,8210,89.2,7187,8140,88.3,1326,2584,51.3,437,1354,329,74,1655,18149,1628,404,77,132,633,679,208,66,1030,27.11,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20,38.0,23780,2227,7151,10336,6491,982,23772,590,319,54.1,271,45.9,13993,73530,39388,734,494,223,557,337,16066,1642,70,2199423,114370000
14,Aston Villa,38,13,6,19,52,54,-2,45,1.18,44.0,49.0,-4.9,-0.13,26.1,46.5,50,42,92,47,3,3,81,2,1.32,1.11,2.42,1.24,34.8,1.10,2.02,1.42,149,96,66.4,11,28.9,46.5,0.29,157,442,35.5,880,176,36.5,33.6,303,39.9,34.8,513,40,7.8,34,0.89,15.4,461,159,34.5,12.13,4.18,0.10,0.30,17.6,471,30.6,12.39,3.79,0.10,0.33,12748,16499,77.3,220973,85405,5916,6803,87.0,5184,6136,84.5,1239,2571,48.2,356,1019,293,70,1300,14615,1832,525,71,97,670,716,196,52,837,22.03,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13,38.0,20609,2411,6876,8896,5049,825,20606,587,333,56.7,254,43.3,11796,62511,31674,653,422,166,595,344,12668,1293,66,1374808,71490000
13,Brentford,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,25.4,44.8,46,33,79,40,6,6,65,3,1.21,0.87,2.08,1.05,33.0,1.08,1.95,1.47,179,125,71.5,9,23.7,49.4,0.25,298,768,38.8,1355,184,43.2,36.2,300,61.0,45.2,626,37,5.9,58,1.53,15.8,436,141,32.3,11.47,3.71,0.09,0.28,16.3,498,34.9,13.11,4.58,0.10,0.28,11676,16272,71.8,211867,85983,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,311,942,262,81,1189,14443,1763,432,50,70,640,778,159,66,739,19.45,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,38.0,20462,2793,7862,8201,4566,819,20456,476,262,55.0,214,45.0,10280,49925,26085,450,332,102,563,291,11565,1170,90,406346,21130000
9,Brighton,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,+3.3,+0.09,26.2,54.4,40,30,70,36,4,7,72,2,1.05,0.79,1.84,0.95,32.3,1.07,1.92,1.16,146,102,71.9,11,28.9,42.5,0.28,161,568,28.3,1317,188,31.4,23.9,241,64.3,48.8,535,60,11.2,36,0.95,9.3,482,141,29.3,12.68,3.71,0.07,0.26,17.7,472,30.3,12.42,3.76,0.09,0.29,16410,20588,79.7,288827,95307,7195,8172,88.0,7130,8208,86.9,1579,2953,53.5,356,1187,342,72,1547,18838,1697,390,58,152,728,784,200,53,870,22.89,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,38.0,24854,2629,8034,10520,6505,876,24847,559,317,56.7,242,43.3,13919,68537,35095,676,519,139,598,349,16278,1529,76,893654,46470000
18,Burnley,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,28.5,40.2,32,26,58,31,1,2,68,2,0.84,0.68,1.53,0.82,31.2,1.00,1.82,1.39,178,127,73.0,9,23.7,47.5,0.25,346,870,39.8,850,154,69.8,50.8,304,91.1,61.3,642,46,7.2,84,2.21,17.0,405,119,29.4,10.66,3.13,0.08,0.26,17.2,598,28.9,15.74,4.55,0.08,0.27,9454,14107,67.0,178791,80195,4297,5327,80.7,3306,4472,73.9,1457,3216,45.3,286,877,240,84,972,12275,1731,370,32,135,747,783,183,101,674,17.74,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18,38.0,18371,2247,5842,8051,4686,663,18369,479,258,53.9,221,46.1,8229,42272,19061,388,300,84,540,291,9342,958,72,760000,39520000
3,Chelsea,38,21,11,6,76,33,+43,74,1.95,63.4,33.2,+30.1,+0.79,27.4,61.8,75,52,127,67,8,9,63,1,1.97,1.37,3.34,1.76,44.9,1.49,2.67,0.87,115,83,76.5,16,42.1,31.6,0.22,91,222,41.0,892,183,19.1,26.4,202,25.7,24.9,419,30,7.2,54,1.42,18.8,583,200,34.3,15.34,5.26,0.11,0.34,17.4,335,32.5,8.82,2.87,0.08,0.24,21190,24888,85.1,342325,113085,10628,11617,91.5,8318,9322,89.2,1524,2514,60.6,439,1614,437,66,1967,23158,1661,434,77,101,745,713,241,69,1064,28.00,1064,28.00,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15,38.0,28975,2279,7926,13385,7881,1066,28966,624,364,58.3,260,41.7,17090,86187,46504,894,729,243,591,383,21040,1956,81,3382500,175890000
12,Crystal Palace,38,11,15,12,50,46,+4,48,1.26,46.4,40.7,+5.7,+0.15,27.1,51.1,50,31,81,44,6,8,69,1,1.32,0.82,2.13,1.16,31.0,1.06,1.87,1.21,144,99,70.1,12,31.6,38.5,0.24,130,375,34.7,994,222,26.8,29.8,272,40.1,33.1,525,28,5.3,43,1.13,11.2,404,140,34.7,10.63,3.68,0.11,0.31,16.1,439,31.9,11.55,3.68,0.09,0.29,14983,19081,78.5,265538,92523,6553,7495,87.4,6521,7610,85.7,1467,2871,51.1,305,990,270,75,1229,17115,1903,528,40,120,643,844,175,63,711,18.71,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5,38.0,23466,2753,8764,9989,4943,749,23458,687,382,55.6,305,44.4,13129,65928,33176,592,410,149,671,471,14878,1214,78,1402885,72950000
16,Everton,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,26.7,40.0,42,29,71,36,6,7,82,6,1.11,0.76,1.87,0.95,28.5,0.94,1.69,1.74,188,127,66.0,8,21.1,55.9,0.29,292,844,34.6,927,124,65.2,48.9,298,80.5,59.5,568,26,4.6,37,0.97,10.7,430,130,30.2,11.32,3.42,0.08,0.28,17.7,520,35.8,13.68,4.89,0.11,0.32,10366,14557,71.2,184813,76163,4889,5859,83.4,3844,4901,78.4,1215,2704,44.9,323,898,255,77,1100,12746,1758,413,30,70,653,783,161,53,742,19.53,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15,38.0,19075,2289,6394,7899,5013,728,19068,634,337,53.2,295,46.5,9422,53443,25599,512,388,143,640,325,10276,1086,86,1782654,92698000
17,Leeds United,38,9,11,18,42,79,-37,38,1.00,44.4,67.8,-23.5,-0.62,26.1,52.3,42,26,68,37,5,5,101,3,1.11,0.68,1.79,0.97,31.3,1.06,1.89,2.08,224,146,67.0,5,13.2,62.4,0.26,109,413,26.4,1108,276,27.5,30.4,292,37.0,33.2,445,23,5.2,47,1.24,23.7,480,142,29.6,12.63,3.74,0.08,0.26,18.3,576,38.0,15.16,5.76,0.13,0.33,13989,18288,76.5,242664,89161,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,347,995,272,53,1483,16432,1793,417,66,140,648,798,170,63,825,21.71,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15,38.0,22705,2608,8521,9502,4919,789,22700,655,339,51.8,316,48.2,12260,67099,36354,671,412,170,676,298,13865,1467,70,457885,23810000
8,Leicester City,38,14,10,14,62,59,+3,52,1.37,47.8,59.3,-11.5,-0.30,26.5,52.0,62,46,108,60,2,2,55,1,1.63,1.21,2.84,1.58,34.2,1.22,2.12,1.55,192,132,72.9,7,18.4,56.9,0.26,196,491,39.9,1021,174,35.7,25.8,302,41.7,36.7,551,16,2.9,39,1.03,10.7,433,164,37.9,11.39,4.32,0.14,0.37,17.8,556,32.9,14.63,4.82,0.09,0.28,16129,20137,80.1,269547,94214,7751,8789,88.2,6573,7579,86.7,1329,2581,51.5,312,1025,254,57,1356,18268,1809,457,65,105,556,769,185,60,745,19.61,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,38.0,24409,2771,8575,11067,4962,746,24407,547,297,54.3,250,45.7,13897,68708,34763,622,467,157,601,368,16036,1351,82,1430192,74370000
