Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
3,Liverpool,38,24,10,4,86,41,+45,82,2.16,87.8,45.7,+42.0,+1.11,26.3,61.3,80,60,140,74,6,9,69,5,2.11,1.58,3.68,1.95,63.7,2.12,3.79,1.08,147,108,72.8,10,26.3,40.0,0.27,92,285,32.3,1348,192,17.0,24.7,228,24.6,27.5,376,18,4.8,46,1.21,17.7,781,263,33.7,20.55,6.92,0.09,0.28,17.2,413,35.4,10.87,3.84,0.09,0.26,20376,24379,83.6,346550,118702,9656,10641,90.7,8627,9763,88.4,1637,2814,58.2,598,1666,506,80,2110,22490,1789,440,102,145,817,755,287,100,1388,36.53,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19,38.0,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,20230,2091,49,2620000,136240000
18,Luton Town,38,6,8,24,52,85,-33,26,0.68,42.4,78.0,-35.5,-0.94,26.7,42.4,49,33,82,44,5,5,71,0,1.29,0.87,2.16,1.16,29.5,1.02,1.79,2.24,223,142,63.7,2,5.3,77.7,0.34,274,814,33.7,1122,151,52.4,50.8,349,64.8,46.8,561,16,2.9,77,2.03,19.0,427,134,31.4,11.24,3.53,0.10,0.33,16.3,656,33.4,17.26,5.76,0.12,0.35,11048,15099,73.2,201475,81352,4969,5784,85.9,4443,5431,81.8,1289,2879,44.8,315,835,250,90,1113,13156,1876,498,22,111,841,703,203,67,749,19.71,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,38.0,19655,2630,7028,7905,4964,780,19650,771,354,45.9,331,42.9,10069,59965,29815,675,480,169,580,385,10911,1094,55,472500,24570000
1,Manchester City,38,28,7,3,96,34,+62,91,2.39,80.5,35.6,+44.9,+1.18,26.6,65.2,94,69,163,85,9,10,53,2,2.47,1.82,4.29,2.24,60.2,1.92,3.50,0.89,109,76,71.6,13,34.2,36.2,0.31,142,314,45.2,1342,161,19.7,27.2,158,31.0,31.9,312,31,9.9,63,1.66,17.3,683,264,38.7,17.97,6.95,0.12,0.32,17.1,291,36.4,7.66,2.79,0.10,0.28,24616,27758,88.7,394064,112270,12895,13721,94.0,9449,10306,91.7,1652,2498,66.1,545,1890,484,65,2060,26136,1580,460,85,133,700,604,286,42,1259,33.13,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17,38.0,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,24343,2032,48,3866000,201032000
8,Manchester Utd,38,18,6,14,57,58,-1,60,1.58,56.5,68.9,-12.5,-0.33,26.1,50.6,57,36,93,51,6,7,83,1,1.50,0.95,2.45,1.34,40.1,1.34,2.40,1.53,203,146,74.9,9,23.7,59.7,0.27,149,513,29.0,1184,140,35.4,31.2,329,28.6,26.0,601,42,7.0,37,0.97,12.9,543,182,33.5,14.29,4.79,0.09,0.28,17.4,660,29.7,17.37,5.16,0.08,0.26,15785,19538,80.8,260507,91226,7892,8866,89.0,5965,6943,85.9,1355,2517,53.8,434,1202,338,50,1479,17784,1663,371,73,99,594,643,224,91,989,26.03,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12,38.0,23998,2938,8197,9856,6146,1025,23991,697,311,44.6,303,43.5,13979,75358,39599,758,523,274,484,342,15597,1468,57,3956846,205756000
7,Newcastle Utd,38,18,6,14,85,62,+23,60,1.58,76.0,61.4,+14.6,+0.38,27.2,52.2,83,55,138,75,8,9,79,1,2.18,1.45,3.63,1.97,51.3,1.82,3.17,1.63,195,133,70.3,10,26.3,61.1,0.29,100,301,33.2,803,236,18.8,36.3,281,53.4,40.5,449,30,6.7,53,1.39,19.5,542,196,36.2,14.26,5.16,0.14,0.38,15.7,529,35.9,13.92,5.00,0.11,0.30,16117,19852,81.2,274265,96401,7681,8623,89.1,6722,7757,86.7,1358,2504,54.2,424,1107,380,76,1557,18026,1767,515,85,133,648,679,192,59,983,25.87,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16,38.0,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13650,73461,36585,737,507,243,506,400,15994,1545,57,1625000,84500000
17,Nott'ham Forest,38,9,9,20,49,67,-18,32,0.84,49.9,53.3,-3.4,-0.09,25.7,40.6,49,43,92,48,1,1,82,3,1.29,1.13,2.42,1.26,37.9,1.29,2.29,1.76,163,98,61.3,4,10.5,47.0,0.27,229,519,44.1,818,171,42.5,35.7,304,56.3,41.4,610,44,7.2,24,0.63,13.3,450,143,31.8,11.84,3.76,0.11,0.34,17.2,505,31.5,13.29,4.18,0.12,0.38,11877,15679,75.8,210025,83097,5510,6417,85.9,4760,5855,81.3,1265,2493,50.7,325,905,244,61,1141,13975,1627,409,53,83,595,661,148,77,783,20.61,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13,38.0,20126,2493,7339,8320,4686,785,20125,604,275,45.5,268,44.4,10217,54749,29182,601,394,155,527,286,11784,1123,72,1385577,72050000
20,Sheffield Utd,38,3,7,28,35,104,-69,16,0.42,38.3,76.6,-38.3,-1.01,25.7,35.8,31,18,49,26,5,5,101,5,0.82,0.47,1.29,0.68,25.8,0.91,1.59,2.74,263,166,62.4,1,2.6,85.1,0.31,270,817,33.0,989,126,55.2,41.2,352,77.0,53.9,661,39,5.9,56,1.47,14.4,360,117,32.5,9.47,3.08,0.07,0.22,17.4,671,38.5,17.66,6.79,0.14,0.36,9531,13509,70.6,169894,71337,4492,5357,83.9,3739,4696,79.6,1042,2626,39.7,257,701,198,48,884,11764,1681,380,26,52,428,666,141,64,601,15.82,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18,38.0,17951,2817,7156,7145,3830,646,17946,581,251,43.2,286,49.2,8332,43412,20412,346,287,128,489,322,9458,875,58,553000,28756000
5,Tottenham,38,20,6,12,74,61,+13,66,1.74,68.2,63.4,+4.8,+0.13,25.2,61.6,69,58,127,67,2,2,92,4,1.82,1.53,3.34,1.76,57.4,1.75,3.27,1.61,167,109,67.7,7,18.4,60.0,0.32,53,225,23.6,1308,193,14.9,24.0,256,11.7,19.4,511,33,6.5,81,2.13,17.1,582,207,35.6,15.32,5.45,0.12,0.32,16.5,478,33.5,12.58,4.21,0.11,0.32,20649,24197,85.3,326221,111380,10630,11617,91.5,8361,9345,89.5,1089,1905,57.2,460,1588,454,65,2107,22167,1947,636,91,59,710,723,234,83,1053,27.71,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,38.0,28529,2791,8520,12260,8010,1316,28527,812,359,44.2,363,44.7,18087,92824,46598,957,634,349,559,375,20484,2097,61,2260000,117520000
9,West Ham,38,14,10,14,60,74,-14,52,1.37,52.3,71.1,-18.8,-0.49,28.3,41.1,58,40,98,54,4,5,82,3,1.53,1.05,2.58,1.42,34.8,1.27,2.19,1.95,241,169,72.6,5,13.2,72.0,0.26,210,553,38.0,793,188,46.8,39.0,307,59.3,43.4,582,35,6.0,8,0.21,7.6,445,146,32.8,11.71,3.84,0.12,0.37,16.2,642,36.0,16.89,6.08,0.10,0.27,12568,16373,76.8,219336,85575,6043,6856,88.1,4817,5751,83.8,1330,2718,48.9,305,979,225,71,1207,14568,1734,429,60,158,661,721,165,71,782,20.58,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9,38.0,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,46,1833000,95316000
14,Wolves,38,13,7,18,50,65,-15,46,1.21,46.7,67.7,-21.0,-0.55,26.6,48.9,47,36,83,43,4,4,102,4,1.24,0.95,2.18,1.13,31.8,1.15,1.98,1.71,203,139,71.9,5,13.2,71.7,0.32,100,480,20.8,933,199,34.3,33.8,305,52.5,40.0,572,45,7.9,31,0.82,13.3,425,153,36.0,11.18,4.03,0.10,0.28,16.7,568,34.3,14.95,5.13,0.10,0.29,15484,19175,80.8,255933,84649,7694,8577,89.7,6100,7016,86.9,1218,2527,48.2,316,910,239,61,1180,17409,1688,439,49,125,578,684,156,78,743,19.55,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,38.0,23487,2823,8674,10264,4804,739,23483,823,415,50.4,324,39.4,13055,71341,36731,671,519,168,536,389,15352,1163,49,1035000,53820000
