Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
6,Arsenal,38,19,6,13,74,51,+23,63,1.66,68.3,47.8,+20.5,+0.54,26.8,61.4,73,61,134,69,4,5,57,,1.92,1.61,3.53,1.82,53.3,1.69,3.10,1.34,147,94,68.7,13,34.2,48.4,0.29,164,460,35.7,925,250,32.9,29.3,253,61.7,47.3,508,39,7.7,59,1.55,13.1,589,223,37.9,15.50,5.87,0.12,0.31,17.9,418,33.7,11.00,3.71,0.11,0.33,20878,25193,82.9,353044,121329,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,444,1658,478,49,2223,23347,1757,432,117,151,572,758,225,89,1079,28.39,1079,28.39,830,53,70,65,53,8,131,3.45,95,8,7,12,7,2,623,425,312,227,84,218,581,37.5,363,372,103,269,427,1050,879,33,38.0,29146,2201,7494,13560,8306,1104,29141,547,383,70.0,164,30.0,18631,95357,50346,915,805,214,540,412,20745,2210,45,3043385,158256000
12,Bournemouth,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,26.9,48.1,45,36,81,42,3,3,57,,1.18,0.95,2.13,1.11,29.1,0.96,1.72,1.61,170,109,65.3,6,15.8,54.8,0.31,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2,462,153,33.1,12.16,4.03,0.09,0.27,18.3,544,30.7,14.32,4.39,0.11,0.35,13450,17962,74.9,251392,100287,5626,6838,82.3,5928,7241,81.9,1638,3176,51.6,348,1220,291,67,1526,15874,2036,534,37,112,707,857,218,52,809,21.29,809,21.29,582,78,53,42,39,15,83,2.18,53,8,5,8,7,2,509,324,272,187,50,198,525,37.7,327,453,160,293,367,876,1129,25,38.0,22240,2420,7636,9472,5366,780,22237,638,343,53.8,291,45.6,11197,66091,33018,702,474,169,564,419,13346,1505,37,828096,43061000
15,Brighton,38,9,13,16,34,54,-20,40,1.05,37.0,50.8,-13.8,-0.36,27.5,43.7,33,25,58,28,5,7,54,,0.87,0.66,1.53,0.74,26.2,0.84,1.53,1.42,172,121,69.2,10,26.3,48.8,0.28,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2,377,110,29.2,9.92,2.89,0.07,0.25,18.3,552,30.6,14.53,4.45,0.09,0.28,11838,16372,72.3,227791,89034,4898,5881,83.3,4601,5764,79.8,1872,3610,51.9,283,885,193,65,1230,14549,1725,322,32,203,680,797,163,98,684,18.00,684,18.00,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,38.0,20478,2530,7473,8781,4463,594,20471,487,299,61.4,188,38.6,10099,57499,29182,523,375,113,496,296,11749,1216,43,767481,39909000
7,Burnley,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.50,27.5,43.7,35,26,61,35,0,0,65,,0.92,0.68,1.61,0.92,23.6,0.85,1.47,1.03,160,121,77.5,12,31.6,47.3,0.28,382,1074,35.6,1004,140,76.5,52.1,329,93.0,66.1,662,59,8.9,40,1.05,12.5,378,126,33.3,9.95,3.32,0.09,0.28,17.0,565,27.6,14.87,4.11,0.06,0.22,10524,15340,68.6,209049,89786,4349,5306,82.0,4168,5417,76.9,1695,3719,45.6,278,974,213,89,1103,13382,1858,463,19,107,707,822,167,100,664,17.47,664,17.47,441,88,36,43,48,8,58,1.53,37,4,4,11,2,0,533,355,272,217,44,204,553,36.9,349,457,191,266,400,933,1300,8,38.0,19452,2376,6334,8960,4332,589,19452,345,218,63.2,127,36.8,8853,45635,22260,431,329,88,489,345,10419,1090,30,626096,32557000
5,Chelsea,38,21,7,10,62,38,+24,70,1.84,54.4,33.8,+20.6,+0.54,26.7,55.6,60,42,102,57,3,3,46,,1.58,1.11,2.68,1.50,41.5,1.37,2.46,1.00,117,81,69.2,16,42.1,35.1,0.29,169,468,36.1,1034,226,32.0,33.8,263,52.1,45.7,479,27,5.6,29,0.76,13.2,603,210,34.8,15.87,5.53,0.09,0.27,17.9,375,30.7,9.87,3.03,0.09,0.30,18967,23101,82.1,329238,111578,8564,9566,89.5,7753,8910,87.0,1892,3091,61.2,482,1431,398,74,1998,21232,1761,445,69,203,755,748,230,108,1114,29.32,1114,29.32,838,83,81,54,46,12,110,2.89,84,7,8,3,8,0,636,426,321,251,64,208,550,37.8,342,365,107,258,424,1060,842,24,38.0,27165,2307,8084,12055,7334,988,27162,734,513,69.9,221,30.1,16479,93989,51657,1045,699,238,533,414,18823,1969,46,2339654,121662000
11,Crystal Palace,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,+5.2,+0.14,27.1,45.2,44,26,70,36,8,10,72,,1.16,0.68,1.84,0.95,33.3,1.21,2.08,1.45,170,117,68.8,9,23.7,51.5,0.30,312,826,37.8,777,110,68.5,47.3,316,93.0,62.8,612,37,6.0,32,0.84,13.4,466,134,28.8,12.26,3.53,0.08,0.27,17.8,464,36.2,12.21,4.42,0.11,0.30,11809,16114,73.3,208774,89985,5714,6694,85.4,4344,5524,78.6,1358,2967,45.8,331,1037,273,58,1308,14109,1949,456,30,83,703,874,210,56,834,21.95,834,21.95,528,83,90,56,60,17,78,2.05,50,3,7,9,9,0,686,447,393,237,56,260,666,39.0,406,466,117,349,552,1238,1110,22,38.0,20777,2192,6612,9120,5293,811,20767,718,479,66.7,239,33.3,11461,62001,31023,727,526,213,618,482,11715,1297,41,1308481,68041000
8,Everton,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,26.7,45.5,42,26,68,37,5,8,55,,1.11,0.68,1.79,0.97,24.7,0.90,1.55,1.53,178,119,69.1,10,26.3,56.1,0.30,322,945,34.1,984,162,64.0,47.8,340,92.6,67.2,591,27,4.6,51,1.34,14.9,351,110,31.3,9.24,2.89,0.11,0.34,17.6,536,32.5,14.11,4.58,0.10,0.32,11953,16472,72.6,221336,88831,5380,6360,84.6,4511,5598,80.6,1579,3385,46.6,263,1044,211,70,1161,14537,1853,417,25,114,629,850,150,82,629,16.55,629,16.55,454,59,31,31,42,12,71,1.87,41,4,8,9,5,4,644,447,360,206,78,223,612,36.4,389,426,160,266,514,1158,1308,22,38.0,20994,2427,7086,9205,4900,608,20986,461,264,57.3,197,42.7,10177,52954,26650,477,352,105,616,381,11850,1152,48,1643077,85440000
16,Huddersfield,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,26.4,45.7,25,19,44,23,2,2,65,,0.66,0.50,1.16,0.61,23.7,0.78,1.41,1.53,158,99,65.8,10,26.3,51.7,0.30,360,891,40.4,1083,103,59.4,45.2,304,81.6,57.9,493,31,6.3,55,1.45,14.4,360,106,29.4,9.47,2.79,0.06,0.22,18.8,433,35.1,11.39,4.00,0.12,0.35,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,260,937,180,77,1210,14785,1970,478,26,82,765,927,165,67,621,16.34,621,16.34,443,52,39,35,36,16,45,1.18,29,4,6,3,3,0,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22,38.0,21340,2267,7032,9501,5064,533,21338,491,276,56.2,215,43.8,10213,60650,29381,627,495,127,546,416,11895,1189,36,492442,25607000
9,Leicester City,38,12,11,15,56,60,-4,47,1.24,50.0,48.1,+1.9,+0.05,27.2,48.0,53,38,91,48,5,6,60,,1.39,1.00,2.39,1.26,34.9,1.19,2.11,1.58,164,104,64.6,9,23.7,50.5,0.29,338,875,38.6,973,134,60.4,43.8,307,93.5,63.3,563,28,5.0,66,1.74,16.3,417,137,32.9,10.97,3.61,0.12,0.35,17.6,485,33.0,12.76,4.21,0.12,0.35,12357,17124,72.2,226357,89044,5532,6632,83.4,4543,5830,77.9,1720,3430,50.1,297,1010,225,72,1271,15046,1986,424,63,170,744,954,203,92,731,19.24,731,19.24,495,83,63,45,38,7,94,2.47,68,8,6,5,7,0,630,417,332,249,49,208,616,33.8,408,465,130,335,414,1044,1007,17,38.0,21322,2209,6497,10115,4964,673,21316,718,422,58.8,294,40.9,10418,64343,32440,655,471,151,516,358,12216,1251,34,1232827,64107000
4,Liverpool,38,21,12,5,84,38,+46,75,1.97,72.9,33.8,+39.1,+1.03,25.6,60.3,82,58,140,80,2,3,44,,2.16,1.53,3.68,2.11,52.7,1.86,3.24,1.00,104,64,67.3,17,44.7,36.4,0.30,130,435,29.9,1023,208,33.2,32.6,204,46.6,42.8,393,25,6.4,67,1.76,17.5,635,226,35.6,16.71,5.95,0.13,0.35,17.7,276,35.5,7.26,2.58,0.12,0.35,20367,24900,81.8,367077,125520,8322,9359,88.9,9546,10936,87.3,1998,3478,57.4,488,1763,464,67,2236,23034,1796,391,106,146,764,896,230,70,1139,29.97,1139,29.97,859,71,98,58,36,17,144,3.79,98,5,27,8,5,1,637,450,265,285,87,196,521,37.6,325,388,71,317,379,1016,788,12,38.0,28759,1843,6993,14748,7291,1064,28756,652,440,67.5,210,32.2,16418,88873,48496,982,690,235,574,447,20236,2218,34,1839865,95673000
