Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
8,Arsenal,38,14,14,10,56,48,+8,56,1.47,47.0,55.3,-8.3,-0.22,25.8,53.8,56,35,91,53,3,3,88,5,1.47,0.92,2.39,1.39,31.4,1.17,2.00,1.26,193,144,78.8,10,26.3,51.8,0.23,92,364,25.3,964,233,24.8,27.9,314,39.8,35.5,606,25,4.1,42,1.11,15.6,403,146,36.2,10.61,3.84,0.13,0.36,16.4,545,33.9,14.34,4.87,0.08,0.22,16634,20410,81.5,292657,94450,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,298,1164,311,63,1641,18463,1874,487,67,153,699,756,231,73,709,18.66,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,38.0,24424,2737,8368,10648,5628,821,24421,697,411,59.0,286,41.0,14410,85069,46708,815,534,209,547,370,16527,1630,78,2279615,118540000
17,Aston Villa,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,25.7,44.1,40,32,72,39,1,3,70,1,1.05,0.84,1.89,1.03,34.2,1.10,2.00,1.76,182,115,65.9,7,18.4,51.6,0.25,240,665,36.1,862,179,50.1,40.0,343,67.9,49.4,628,23,3.7,28,0.74,9.9,453,147,32.5,11.92,3.87,0.09,0.27,17.5,602,29.2,15.84,4.63,0.10,0.35,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,369,908,270,95,1247,13604,2006,562,17,153,798,797,200,62,828,21.79,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,38.0,19977,2658,7038,8203,4969,695,19974,569,352,61.9,217,38.1,10317,61373,31557,639,476,139,546,313,11546,1229,82,983654,51150000
18,Bournemouth,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,25.2,44.1,38,24,62,34,4,4,78,3,1.00,0.63,1.63,0.89,30.6,1.10,1.90,1.71,192,126,68.8,5,13.2,62.6,0.30,185,616,30.0,866,190,47.5,29.2,295,69.5,53.2,603,20,3.3,26,0.68,13.3,385,117,30.4,10.13,3.08,0.09,0.29,17.3,552,33.7,14.53,4.89,0.11,0.32,12042,16387,73.5,208869,82509,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,280,921,227,49,1256,14488,1832,450,28,92,646,790,194,67,669,17.61,669,17.61,472,69,34,39,47,8,63,1.66,36,6,7,8,6,0,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,38.0,20872,2556,7472,8683,4916,717,20868,602,325,54.0,277,46.0,12070,62723,31212,601,424,136,571,384,11946,1238,84,814423,42350000
15,Brighton,38,9,14,15,39,54,-15,41,1.08,45.4,55.0,-9.5,-0.25,26.4,52.2,35,24,59,34,1,2,59,2,0.92,0.63,1.55,0.89,31.6,1.15,1.99,1.42,168,116,69.0,9,23.7,50.2,0.29,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,0.68,13.7,460,139,30.2,12.11,3.66,0.07,0.24,17.6,496,33.5,13.05,4.37,0.10,0.30,15881,20056,79.2,290667,102483,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,343,1124,294,62,1675,18194,1791,394,34,200,689,853,178,71,804,21.16,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,38.0,24387,2721,8174,10724,5693,770,24385,584,335,57.4,249,42.6,13074,73950,37898,669,502,165,626,399,15782,1661,84,936923,48720000
10,Burnley,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,28.0,41.9,41,30,71,38,3,3,67,0,1.08,0.79,1.87,1.00,32.4,1.19,2.04,1.32,167,117,72.5,15,39.5,45.7,0.25,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,1.26,14.9,384,124,32.3,10.11,3.26,0.10,0.31,16.4,534,30.3,14.05,4.26,0.08,0.28,10049,14694,68.4,181797,76083,4700,5595,84.0,3686,4854,75.9,1295,3221,40.2,280,787,217,99,890,12767,1838,408,29,99,743,868,170,89,667,17.55,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,38.0,18827,2224,5596,8993,4410,617,18823,454,246,54.2,208,45.8,8828,46545,21653,437,352,71,509,291,9969,882,73,855192,44470000
4,Chelsea,38,20,6,12,69,54,+15,66,1.74,69.2,38.6,+30.6,+0.81,25.5,60.4,69,46,115,62,7,7,60,0,1.82,1.21,3.03,1.63,46.7,1.70,2.92,1.42,115,64,54.8,9,23.7,37.5,0.31,102,302,33.8,1028,168,22.0,31.4,226,33.6,32.7,389,21,5.4,38,1.00,16.0,618,210,34.0,16.26,5.53,0.10,0.30,16.6,320,35.3,8.42,2.97,0.15,0.43,20958,25213,83.1,352088,108966,9753,10903,89.5,8527,9698,87.9,1843,2989,61.7,459,1463,411,108,1897,23308,1842,401,61,215,862,876,247,63,1121,29.50,1121,29.50,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,38.0,29489,2281,8311,13996,7423,1063,29482,718,460,64.1,258,35.9,18488,98638,51643,983,725,222,583,414,20848,1880,79,2300962,119650000
14,Crystal Palace,38,11,10,17,31,50,-19,43,1.13,35.8,57.0,-21.2,-0.56,29.4,44.8,29,20,49,26,3,3,62,2,0.76,0.53,1.29,0.68,26.0,0.88,1.57,1.32,172,124,70.9,10,26.3,55.7,0.34,237,710,33.4,848,180,53.4,48.9,313,82.1,57.4,651,23,3.5,27,0.71,13.2,373,115,30.8,9.82,3.03,0.07,0.23,17.0,511,33.7,13.45,4.53,0.09,0.28,12274,16395,74.9,212859,86923,5857,6822,85.9,4679,5712,81.9,1307,2747,47.6,265,910,243,47,1223,14377,1965,501,19,79,588,886,177,53,643,16.92,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,38.0,20928,2377,7276,9017,4876,793,20925,698,432,61.9,266,38.1,10305,58519,29301,596,428,198,611,479,12187,1208,69,1428654,74290000
12,Everton,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,+2.5,+0.07,25.5,49.0,42,32,74,41,1,1,76,3,1.11,0.84,1.95,1.08,38.1,1.32,2.32,1.47,147,94,63.9,9,23.7,50.2,0.32,270,730,37.0,1104,195,51.3,40.1,275,59.6,46.8,510,24,4.7,25,0.66,13.4,468,159,34.0,12.32,4.18,0.09,0.26,16.4,423,34.0,11.13,3.79,0.12,0.35,13433,17736,75.7,248821,94797,5670,6722,84.3,5545,6642,83.5,1728,3126,55.3,340,987,288,93,1430,15790,1888,463,55,165,804,853,203,58,805,21.18,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,38.0,22035,2514,7389,9561,5301,838,22034,609,374,61.4,235,38.6,12432,65428,32588,623,502,146,593,345,13344,1421,76,1690962,87930000
5,Leicester City,38,18,8,12,67,41,+26,62,1.63,62.2,45.5,+16.7,+0.44,26.1,57.1,65,48,113,60,5,7,43,3,1.71,1.26,2.97,1.58,44.9,1.49,2.67,1.08,135,94,75.6,13,34.2,44.3,0.26,180,398,45.2,951,159,31.5,33.0,241,40.7,36.1,507,14,2.8,34,0.89,17.2,533,183,34.3,14.03,4.82,0.11,0.33,17.4,368,34.0,9.68,3.29,0.08,0.25,17600,21800,80.7,304569,102390,8018,9016,88.9,7415,8600,86.2,1655,2913,56.8,405,1283,313,72,1612,19817,1919,495,68,126,779,883,221,64,969,25.50,969,25.50,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,38.0,26247,2187,7814,12226,6415,925,26240,688,377,54.8,311,45.2,16018,77180,39583,739,561,223,602,328,17485,1601,80,1414038,73530000
1,Liverpool,38,32,3,3,85,33,+52,99,2.61,68.9,37.7,+31.2,+0.82,26.6,62.9,83,69,152,78,5,5,38,1,2.18,1.82,4.00,2.05,53.0,1.71,3.10,0.87,107,75,70.1,15,39.5,27.1,0.25,121,288,42.0,1017,191,21.9,27.4,239,27.2,30.3,426,17,4.0,77,2.03,19.2,586,224,38.2,15.42,5.89,0.13,0.35,16.5,340,31.2,8.95,2.79,0.09,0.29,21276,25891,82.2,370796,117058,9557,10648,89.8,9007,10345,87.1,2038,3458,58.9,454,1630,477,93,1941,23952,1886,440,68,283,896,879,257,53,1044,27.47,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,38.0,29749,2077,7168,14888,7909,1193,29744,658,387,58.8,271,41.2,20166,94610,50195,967,782,252,607,306,21151,1925,70,2209038,114870000
