Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
2,Arsenal,38,26,6,6,88,43,+45,84,2.21,71.6,42.0,+29.6,+0.78,24.7,59.3,84,64,148,81,3,4,51,0,2.21,1.68,3.89,2.13,53.5,1.81,3.22,1.13,136,94,70.6,14,36.8,40.0,0.28,109,429,25.4,924,174,36.6,33.3,185,49.2,42.8,381,22,5.8,43,1.13,16.1,589,194,32.9,15.50,5.11,0.14,0.42,16.0,337,39.5,8.87,3.50,0.12,0.29,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,443,1637,459,62,2049,20293,1620,516,86,97,674,615,223,56,1045,27.50,1045,27.50,775,78,58,73,43,18,150,3.95,121,6,5,13,3,2,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23,38.0,25910,1994,6632,11453,8015,1296,25906,758,358,47.2,290,38.3,15923,83916,44184,824,584,281,526,378,18101,2024,69,1955000,101660000
7,Aston Villa,38,18,7,13,51,46,+5,61,1.61,50.3,52.5,-2.2,-0.06,27.0,49.3,49,35,84,46,3,4,80,1,1.29,0.92,2.21,1.21,38.8,1.24,2.26,1.21,151,108,72.8,12,31.6,42.8,0.25,214,585,36.6,1247,153,37.0,37.6,265,46.8,38.3,528,65,12.3,76,2.00,14.2,427,145,34.0,11.24,3.82,0.11,0.32,18.0,424,34.2,11.16,3.82,0.09,0.26,13782,17396,79.2,244073,87581,6111,6947,88.0,5979,6934,86.2,1345,2579,52.2,318,964,268,80,1242,15544,1794,599,54,101,561,684,162,58,751,19.76,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14,38.0,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227,81,1935000,100620000
15,Bournemouth,38,11,6,21,37,71,-34,39,1.03,38.5,63.8,-25.3,-0.67,26.3,40.4,37,24,61,37,0,0,68,0,0.97,0.63,1.61,0.97,28.4,1.01,1.76,1.87,204,136,68.1,8,21.1,63.6,0.29,231,591,39.1,847,190,44.0,31.9,353,61.8,44.1,739,40,5.4,30,0.79,10.5,358,126,35.2,9.42,3.32,0.10,0.29,15.5,619,32.0,16.29,5.21,0.10,0.31,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,261,850,237,75,1006,13607,1736,424,48,87,509,706,144,38,616,16.21,616,16.21,444,45,53,43,24,7,64,1.68,44,5,4,8,2,1,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11,38.0,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,504,389,144,589,367,11617,986,83,739000,38428000
9,Brentford,38,15,14,9,58,46,+12,59,1.55,56.3,48.8,+7.5,+0.20,26.2,43.8,56,36,92,49,7,8,57,1,1.47,0.95,2.42,1.29,38.4,1.32,2.33,1.21,197,154,77.7,12,31.6,48.1,0.24,347,882,39.3,1361,160,50.9,39.5,275,68.7,51.0,598,53,8.9,54,1.42,15.7,400,147,36.8,10.53,3.87,0.12,0.33,15.7,557,35.0,14.66,5.13,0.07,0.21,11317,15551,72.8,209962,87002,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,284,922,279,87,1131,13766,1713,453,53,107,661,738,163,72,702,18.47,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14,38.0,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,392,300,102,520,336,11203,1121,75,618000,32136000
6,Brighton,38,18,8,12,72,53,+19,62,1.63,73.3,50.2,+23.1,+0.61,26.3,60.2,68,46,114,62,6,6,58,0,1.79,1.21,3.00,1.63,52.2,1.81,3.19,1.39,131,82,64.1,12,31.6,42.7,0.27,94,279,33.7,1067,151,21.4,28.9,247,20.6,23.2,355,27,7.6,32,0.84,12.3,607,219,36.1,15.97,5.76,0.10,0.28,16.8,380,32.4,10.00,3.24,0.11,0.33,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,480,1459,391,78,1849,21109,1709,445,81,130,694,693,233,70,1075,28.29,1075,28.29,819,73,81,63,27,12,115,3.03,83,3,13,9,6,1,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,38.0,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,809,547,250,558,324,18991,1828,70,738000,38376000
12,Chelsea,38,11,11,16,38,47,-9,44,1.16,49.5,52.5,-3.0,-0.08,26.3,58.7,37,27,64,34,3,3,81,3,0.97,0.71,1.68,0.89,38.6,1.24,2.26,1.24,159,115,71.1,10,26.3,47.0,0.30,95,290,32.8,1087,198,18.2,27.6,248,37.1,31.9,460,24,5.2,63,1.66,13.7,481,151,31.4,12.66,3.97,0.07,0.23,16.8,437,36.2,11.50,4.16,0.10,0.27,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,376,1426,370,68,1737,20995,1767,503,58,129,693,722,209,74,859,22.61,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,38.0,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42.0,16538,83509,43596,829,622,216,568,381,19065,1729,86,3655000,190060000
11,Crystal Palace,38,11,12,15,40,49,-9,45,1.18,39.3,48.1,-8.8,-0.23,26.7,46.3,38,29,67,37,1,3,82,3,1.00,0.76,1.76,0.97,29.0,0.97,1.73,1.29,160,114,71.9,9,23.7,44.7,0.26,153,446,34.3,930,189,33.7,32.3,273,48.7,37.6,539,29,5.4,40,1.05,13.1,423,133,31.4,11.13,3.50,0.09,0.28,17.6,452,34.5,11.89,4.11,0.09,0.27,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,316,1013,239,51,1243,15416,1834,525,41,118,591,763,186,58,746,19.63,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,73,1285000,66820000
17,Everton,38,8,12,18,34,57,-23,36,0.95,45.2,65.5,-20.4,-0.54,26.6,42.8,32,24,56,29,3,3,81,2,0.84,0.63,1.47,0.76,32.4,1.13,1.98,1.50,185,127,71.9,9,23.7,60.4,0.30,274,814,33.7,1012,156,57.7,34.9,325,70.8,52.4,589,23,3.9,52,1.37,5.0,426,143,33.6,11.21,3.76,0.07,0.20,16.8,570,31.4,15.00,4.71,0.09,0.29,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,308,964,224,67,1052,13984,1735,434,39,93,704,707,174,64,735,19.34,735,19.34,493,84,39,54,45,20,59,1.55,41,5,5,2,4,2,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17,38.0,20233,2527,7219,8418,4830,742,20229,674,310,46.0,296,43.9,10479,56737,27858,500,391,137,605,300,11708,1042,80,1631000,84812000
10,Fulham,38,15,7,16,55,53,+2,52,1.37,46.2,63.6,-17.4,-0.46,28.2,48.8,52,33,85,47,5,9,80,1,1.37,0.87,2.24,1.24,28.5,1.03,1.78,1.39,196,144,76.5,9,23.7,60.1,0.28,140,438,32.0,1176,193,28.4,46.0,280,37.1,35.0,490,36,7.3,48,1.26,14.0,420,137,32.6,11.05,3.61,0.11,0.34,17.3,497,37.8,13.08,4.95,0.09,0.23,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,306,1044,284,97,1326,16136,1818,471,20,157,769,795,182,60,751,19.76,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15,38.0,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,663,474,124,535,379,13848,1316,72,1045000,54340000
19,Leeds United,38,7,10,21,48,78,-30,31,0.82,47.3,67.1,-19.8,-0.52,25.3,47.0,45,31,76,44,1,3,89,3,1.18,0.82,2.00,1.16,31.8,1.18,2.02,2.05,185,108,60.5,5,13.2,64.1,0.32,124,520,23.8,883,214,40.8,41.1,275,58.2,44.1,475,36,7.6,69,1.82,11.6,459,141,30.7,12.08,3.71,0.10,0.31,16.6,522,34.5,13.74,4.74,0.14,0.40,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,337,1086,270,70,1429,14953,1911,484,41,87,653,837,199,60,783,20.61,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18,38.0,21642,2125,6971,9290,5587,796,21639,689,269,39.0,328,47.6,11343,55029,27060,555,379,146,602,421,12330,1418,78,949500,49374000
