Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Cresswell,"DF,FW",West Ham,33,11,4,436.0,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.00,0.00,,,,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,5,15,4,0,26,245,63,9,0,4,11,50,4,0,12,2.48,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,4.8,326,18,125,141,61,1,326,1,0,0.0,1,100.0,169,522,220,4,5,0,0,2,210,6,50000,2600000
Aaron Hickey,DF,Brentford,21,9,9,713.0,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,14.3,0.88,0.13,0.00,0.00,25.3,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,1,10,2,0,21,254,23,3,1,3,5,20,0,0,7,0.88,7,0.88,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,7.9,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,30000,1560000
Aaron Ramsdale,GK,Arsenal,25,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,14,9,64.3,2,33.3,3.7,0.26,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.50,14.6,0,0,,0.00,0.00,,,,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,4,0,0,2,153,35,16,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,6.0,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,120000,6240000
Aaron Ramsey,"MF,FW",Burnley,20,14,5,527.0,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,0.00,0.00,0.00,0.00,0.06,0.07,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,33.3,1.02,0.34,0.00,0.00,16.5,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90.0,1,7,2,0,8,141,9,1,1,0,2,2,0,1,5,0.85,5,0.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0,5.9,228,15,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17,25000,1300000
Aaron Wan-Bissaka,DF,Manchester Utd,25,22,20,1780.0,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,0.00,0.10,0.10,0.00,0.01,0.08,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,0.15,0.05,0.00,0.00,20.2,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50.0,12,51,16,3,77,839,145,7,0,1,14,138,0,2,26,1.31,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,19.8,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,90000,4680000
Abdoulaye Doucouré,"FW,MF",Everton,30,32,32,2629.0,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,0.24,0.03,0.27,0.24,0.30,0.10,0.30,0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,21,44.7,1.61,0.72,0.15,0.33,12.2,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,34,43,18,1,97,876,16,0,1,1,26,0,0,1,67,2.29,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,29.2,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,130000,6760000
Adam Lallana,"MF,FW",Brighton,35,25,13,850.0,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,0.00,0.11,0.11,0.00,0.09,0.18,0.09,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,18.2,1.16,0.21,0.00,0.00,17.8,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,15,21,16,1,39,491,15,5,3,0,7,0,4,3,28,2.96,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,9.4,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,90000,4680000
Adam Smith,DF,Bournemouth,32,28,25,2150.0,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,0.00,0.08,0.08,0.00,0.00,0.05,0.00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.08,0.00,0.00,,26.9,782,1025,76.3,12722,5225,397,443,89.6,325,401,81.0,51,141,36.2,17,58,23,17,89,793,229,14,3,1,39,215,0,3,31,1.30,31,1.30,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,23.9,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28,35000,1820000
Adam Webster,DF,Brighton,28,15,13,1144.0,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.0,0.63,0.00,0.00,,9.9,997,1096,91.0,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,5,92,4,0,80,1063,31,23,1,4,1,7,0,2,14,1.10,14,1.10,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,12.7,1201,106,495,625,86,14,1201,2,0,0.0,2,100.0,814,4073,2357,16,16,0,5,2,903,2,55000,2860000
Adam Wharton,MF,Crystal Palace,19,16,15,1297.0,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,0.00,0.21,0.21,0.00,0.02,0.17,0.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,10.0,0.69,0.07,0.00,0.00,24.2,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,21,51,16,3,79,553,34,13,3,2,25,0,15,9,37,2.57,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,14.4,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10,35000,1820000
