Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Cresswell,DF,West Ham,28,20,18,1589.0,17.7,0,1,1,0,0,0,1,0,0.5,0.5,1.1,1.5,0.00,0.06,0.06,0.00,0.03,0.06,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0.0,0.62,0.00,0.00,,22.6,848,1082,78.4,12647,5043,484,545,88.8,279,345,80.9,48,106,45.3,17,60,19,8,94,859,220,20,0,3,75,192,8,3,35,1.98,35,1.98,24,6,0,3,1,1,3,0.17,1,2,0,0,0,0,29,16,14,11,4,13,25,52.0,12,28,7,21,23,52,58,0,17.7,1279,71,309,642,335,29,1279,13,6,46.2,7,53.8,563,2544,1349,35,25,6,13,6,707,103,50000,2600000
Aaron Lennon,MF,Burnley,31,16,14,1215.0,13.5,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,0.07,0.07,0.15,0.07,0.06,0.05,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,50.0,0.30,0.15,0.25,0.50,13.4,227,307,73.9,3224,613,136,167,81.4,75,92,81.5,9,16,56.3,7,10,6,3,18,301,5,0,1,0,23,5,0,1,20,1.48,20,1.48,12,0,1,0,7,0,1,0.07,1,0,0,0,0,0,26,16,11,12,3,6,14,42.9,8,24,0,24,10,36,18,0,13.5,431,22,75,201,159,21,431,15,7,46.7,8,53.3,201,1162,522,21,5,6,15,13,261,55,35000,1820000
Aaron Mooy,"MF,FW",Huddersfield,27,29,25,2330.0,25.9,3,1,4,2,1,1,4,0,2.8,2.1,2.6,4.6,0.12,0.04,0.15,0.08,0.11,0.10,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,13,31.0,1.62,0.50,0.05,0.15,23.3,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,43,143,24,8,154,1294,129,44,2,19,137,8,75,12,85,3.28,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0,25.9,1697,28,207,893,627,31,1696,37,22,59.5,15,40.5,916,4656,2016,61,56,7,35,45,1082,94,50000,2600000
Aaron Ramsey,MF,Arsenal,27,28,14,1331.0,14.8,4,6,10,4,0,0,0,0,3.4,3.4,2.0,5.4,0.27,0.41,0.68,0.27,0.23,0.14,0.23,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,13,39.4,2.23,0.88,0.12,0.31,17.2,652,807,80.8,9568,2275,368,419,87.8,192,226,85.0,43,59,72.9,25,51,16,4,88,775,26,10,5,9,15,13,1,6,48,3.25,48,3.25,41,0,3,3,0,1,10,0.68,9,0,1,0,0,0,34,18,11,15,8,7,25,28.0,18,7,1,6,9,43,3,0,14.8,972,9,113,488,379,72,972,23,12,52.2,11,47.8,574,3368,1688,47,42,6,35,27,768,133,120000,6240000
Aaron Rowe,FW,Huddersfield,17,2,1,69.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.00,0.00,,,,13,20,65.0,171,69,8,12,66.7,5,5,100.0,0,3,0.0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,1,1.30,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0,0.8,33,1,8,10,15,0,33,3,1,33.3,2,66.7,24,111,35,0,2,0,1,4,20,6,96,5000
Aaron Wan-Bissaka,DF,Crystal Palace,20,35,35,3134.0,34.8,0,3,3,0,0,0,4,1,0.5,0.5,2.1,2.6,0.00,0.09,0.09,0.00,0.01,0.06,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.0,0.26,0.00,0.00,,17.9,1146,1566,73.2,15705,7716,720,829,86.9,341,485,70.3,49,139,35.3,14,84,25,11,159,1217,346,4,1,0,56,342,0,3,48,1.38,48,1.38,35,4,7,1,0,1,7,0.20,4,1,1,1,0,0,129,90,90,33,6,55,65,84.6,10,49,16,33,84,213,161,0,34.8,2143,164,827,837,501,27,2143,90,61,67.8,29,32.2,831,5737,3255,100,80,10,43,37,907,119,15000,780000
Abdelhamid Sabiri,FW,Huddersfield,21,2,1,48.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.00,0.00,,,,7,8,87.5,62,11,7,8,87.5,0,0,,0,0,,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,0,0,,0,1,0,1,1,3,0,0,0.5,12,0,4,6,2,1,12,0,0,,0,,6,28,20,0,1,0,1,0,7,1,17500,910000
Abdoulaye Doucouré,MF,Watford,25,35,34,3062.0,34.0,5,6,11,5,0,0,7,0,6.2,6.2,4.7,10.8,0.15,0.18,0.32,0.15,0.18,0.14,0.18,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,16,30.8,1.53,0.47,0.10,0.31,17.6,1622,1963,82.6,24439,6590,860,990,86.9,568,647,87.8,109,160,68.1,38,135,33,2,202,1919,35,31,5,13,11,2,1,9,83,2.44,83,2.44,72,2,4,5,0,0,9,0.26,5,1,1,2,0,0,71,38,27,32,12,19,57,33.3,38,31,8,23,34,105,55,5,34.0,2320,62,432,1390,521,78,2320,55,32,58.2,23,41.8,1448,6612,3319,58,49,12,59,41,1556,83,70000,3640000
Aboubakar Kamara,FW,Fulham,23,13,5,693.0,7.7,3,0,3,2,1,2,2,0,3.7,2.1,0.7,2.8,0.39,0.00,0.39,0.26,0.48,0.09,0.27,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,8,42.1,2.47,1.04,0.11,0.25,19.7,170,248,68.5,2500,441,97,119,81.5,55,74,74.3,11,25,44.0,10,6,3,1,6,241,6,1,0,1,18,4,0,1,21,2.73,21,2.73,18,0,1,1,1,0,1,0.13,0,0,0,0,1,0,8,4,1,5,2,3,7,42.9,4,6,0,6,1,9,6,0,7.7,352,5,35,108,210,33,350,20,12,60.0,8,40.0,187,1450,639,24,19,12,23,13,248,93,12500,650000
Adam Lallana,"MF,FW",Liverpool,30,13,5,468.0,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.7,0.00,0.00,0.00,0.00,0.05,0.09,0.05,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,0.96,0.19,0.00,0.00,17.2,251,312,80.4,2855,786,171,192,89.1,44,57,77.2,7,14,50.0,9,14,7,0,30,302,9,1,1,2,8,1,4,1,24,4.63,24,4.63,18,3,2,0,1,0,3,0.58,2,0,0,0,1,0,16,9,6,7,3,5,12,41.7,7,10,1,9,5,21,4,0,5.2,384,4,39,182,163,26,384,11,8,72.7,3,27.3,243,1061,519,18,9,5,10,10,282,39,110000,5720000
