Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Connolly,"FW,MF",Brighton,21,4,1,156.0,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.00,0.00,0.00,0.00,0.21,0.06,0.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,1.15,0.00,0.00,,15.5,14,19,73.7,172,16,8,8,100.0,5,5,100.0,0,1,0.0,1,0,0,0,1,18,1,0,0,0,0,0,0,0,2,1.15,2,1.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,1.7,33,0,0,13,20,4,33,2,0,0.0,2,100.0,22,121,38,3,0,0,2,2,22,7,23077,1200000
Aaron Cresswell,DF,West Ham,31,31,31,2726.0,30.3,2,3,5,2,0,0,3,0,1.1,1.1,3.2,4.2,0.07,0.10,0.17,0.07,0.04,0.10,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,16.7,0.59,0.10,0.11,0.67,20.5,1656,2096,79.0,27331,11135,837,912,91.8,650,755,86.1,134,318,42.1,31,131,19,12,186,1736,350,67,0,6,145,232,51,10,53,1.75,53,1.75,31,20,0,2,0,0,6,0.20,2,4,0,0,0,0,28,18,18,6,4,13,25,52.0,12,31,18,13,35,63,66,0,30.3,2312,126,674,1078,576,22,2312,17,8,47.1,9,52.9,1305,5741,2727,54,45,2,14,4,1497,99,50000,2600000
Aaron Lennon,"MF,FW",Burnley,34,28,17,1551.0,17.2,2,0,2,2,0,0,2,0,1.1,1.1,0.5,1.6,0.12,0.00,0.12,0.12,0.06,0.03,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,33.3,0.70,0.23,0.17,0.50,20.1,252,382,66.0,3280,783,156,197,79.2,65,102,63.7,10,28,35.7,9,14,4,2,19,370,9,1,0,1,40,3,2,3,33,1.92,33,1.92,21,0,5,2,5,0,4,0.23,1,0,2,0,1,0,33,17,10,13,10,10,34,29.4,24,26,4,22,9,42,14,0,17.2,542,21,85,222,243,42,542,30,13,43.3,17,56.7,286,1641,738,38,10,20,25,13,334,77,20000,1040000
Aaron Ramsdale,GK,Arsenal,23,34,34,3060.0,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,128,90,73.4,12,35.3,38.2,0.26,134,480,27.9,993,162,34.8,33.2,181,74.0,55.1,414,26,6.3,60,1.76,16.4,0,0,,0.00,0.00,,,,795,1178,67.5,20520,14378,196,199,98.5,394,404,97.5,203,566,35.9,0,26,0,0,1,913,261,78,0,4,0,2,0,4,2,0.06,2,0.06,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,26,3,34.0,1258,927,1245,15,0,0,1258,1,1,100.0,0,0.0,807,4165,2486,0,0,0,1,0,630,0,61923,3220000
Aaron Wan-Bissaka,DF,Manchester Utd,23,20,20,1793.0,19.9,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,0.25,0.05,0.00,0.00,14.1,925,1141,81.1,12449,4048,598,657,91.0,255,307,83.1,36,67,53.7,14,52,12,8,61,968,171,4,0,6,35,167,0,2,35,1.76,35,1.76,29,0,3,1,1,1,1,0.05,1,0,0,0,0,0,49,36,25,18,6,14,20,70.0,6,24,14,10,34,83,41,2,19.9,1365,75,454,565,366,28,1365,61,36,59.0,25,41.0,716,4088,2131,55,41,8,23,13,815,90,90000,4680000
Abdoulaye Doucouré,MF,Everton,28,30,29,2537.0,28.2,2,4,6,2,0,0,6,0,2.2,2.2,2.0,4.2,0.07,0.14,0.21,0.07,0.08,0.07,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,11,32.4,1.21,0.39,0.06,0.18,17.9,864,1097,78.8,12771,3058,490,581,84.3,296,351,84.3,45,72,62.5,19,81,19,0,113,1078,17,11,3,3,11,1,0,2,57,2.02,57,2.02,50,0,3,3,0,1,7,0.25,5,0,1,1,0,0,75,43,30,37,8,32,71,45.1,39,33,8,25,28,103,32,0,28.2,1390,63,329,745,339,44,1390,41,21,51.2,20,48.8,694,3500,1770,33,28,6,43,22,764,54,75000,3900000
Adam Armstrong,FW,Southampton,24,23,17,1413.0,15.7,2,2,4,2,0,0,1,0,4.5,4.5,1.6,6.2,0.13,0.13,0.25,0.13,0.29,0.10,0.29,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,14,29.8,2.99,0.89,0.04,0.14,17.2,229,324,70.7,3453,610,111,142,78.2,93,126,73.8,12,22,54.5,13,11,13,0,30,283,40,0,4,1,18,2,0,1,36,2.29,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0,15.7,493,9,40,184,275,75,493,42,16,38.1,26,61.9,287,1882,768,39,24,22,45,13,335,105,50000,2600000
Adam Forshaw,MF,Leeds United,29,22,17,1530.0,17.0,0,1,1,0,0,0,5,0,0.5,0.5,1.0,1.5,0.00,0.06,0.06,0.00,0.03,0.06,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,28.6,0.82,0.24,0.00,0.00,25.0,695,842,82.5,11652,3225,342,389,87.9,253,290,87.2,73,103,70.9,13,68,8,0,80,805,31,25,6,6,5,5,0,6,35,2.06,35,2.06,31,0,1,3,0,0,2,0.12,2,0,0,0,0,0,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2,17.0,995,25,265,578,167,9,995,19,12,63.2,7,36.8,539,2507,1137,19,12,2,24,11,629,26,20000,1040000
Adam Idah,"FW,MF",Norwich City,20,17,6,625.0,6.9,1,1,2,1,0,0,0,0,2.3,2.3,0.6,2.9,0.14,0.14,0.29,0.14,0.33,0.09,0.33,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,28.6,2.02,0.58,0.07,0.25,13.9,95,150,63.3,1466,288,53,68,77.9,32,46,69.6,5,10,50.0,5,8,5,2,10,143,5,0,0,1,13,3,0,2,17,2.45,17,2.45,10,1,2,1,3,0,1,0.14,1,0,0,0,0,0,9,6,2,5,2,2,3,66.7,1,4,2,2,3,12,7,0,6.9,232,11,27,92,116,30,232,20,12,60.0,8,40.0,138,924,245,11,3,3,23,13,163,48,5000,260000
Adam Lallana,MF,Brighton,33,24,18,1561.0,17.3,0,1,1,0,0,0,4,0,1.1,1.1,0.9,2.0,0.00,0.06,0.06,0.00,0.06,0.05,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,21.1,1.10,0.23,0.00,0.00,19.8,836,962,86.9,11641,2793,502,552,90.9,265,288,92.0,28,53,52.8,8,58,17,1,76,949,12,9,1,2,3,1,0,1,28,1.62,28,1.62,24,0,0,2,2,0,4,0.23,4,0,0,0,0,0,34,17,14,14,6,12,41,29.3,29,16,6,10,16,50,13,1,17.3,1123,40,243,632,255,35,1123,23,14,60.9,9,39.1,618,2312,1084,17,21,2,24,15,793,47,90385,4700000
