Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Ademola Lookman,"FW,MF",Everton,19,7,1,159.0,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.00,0.00,0.00,0.00,0.06,0.26,0.06,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,1.70,0.00,0.00,,20.2,38,47,80.9,514,127,19,23,82.6,13,14,92.9,2,3,66.7,2,2,0,0,6,47,0,0,0,0,2,0,0,0,2,1.13,2,1.13,2,0,0,0,0,0,1,0.57,1,0,0,0,0,0,1,1,0,1,0,0,2,0.0,2,2,0,2,1,2,3,0,1.8,78,1,15,31,35,4,78,13,8,61.5,5,38.5,50,461,196,8,6,4,9,4,53,7,0.0,0.0
Adrian Mariappa,DF,Watford,30,28,24,2210.0,24.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.8,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,20.0,0.41,0.08,0.00,0.00,13.2,774,1028,75.3,13905,6028,342,395,86.6,343,432,79.4,77,161,47.8,4,50,3,0,60,955,70,10,0,8,4,60,0,3,7,0.29,7,0.29,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,45,26,33,12,0,14,34,41.2,20,25,16,9,45,90,133,4,24.6,1309,140,636,610,69,18,1309,6,2,33.3,4,66.7,631,2491,1348,8,5,1,3,2,683,6,7000,364000
Adrien Silva,MF,Leicester City,28,12,9,761.0,8.5,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,0.00,0.12,0.12,0.00,0.04,0.10,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,18.2,1.30,0.24,0.00,0.00,26.7,353,439,80.4,5672,1821,163,188,86.7,141,165,85.5,30,46,65.2,7,49,4,0,55,419,18,7,3,1,4,0,0,2,18,2.13,18,2.13,14,2,0,0,0,2,1,0.12,1,0,0,0,0,0,22,13,8,13,1,6,28,21.4,22,12,2,10,14,36,0,0,8.5,523,4,71,337,121,3,523,8,6,75.0,2,25.0,285,1347,673,12,8,0,18,16,350,15,80000,4160000
Adrián,GK,West Ham,30,19,19,1710.0,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,96,68,70.8,6,31.6,27.8,0.29,154,445,34.6,383,47,72.8,47.7,184,90.2,59.3,316,13,4.1,31,1.63,16.0,0,0,,0.00,0.00,,,,266,571,46.6,11798,10438,12,12,100.0,51,52,98.1,203,503,40.4,0,13,1,0,0,332,235,51,0,1,0,0,0,4,2,0.11,2,0.11,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,2,1,2,0,0,1,4,25.0,3,1,0,1,0,2,15,1,19.0,641,541,633,9,0,0,641,0,0,,0,,284,2193,1505,0,0,0,0,0,166,0,50000,2600000
Ahmed Hegazi,DF,West Brom,26,38,38,3386.0,37.6,2,0,2,2,0,0,4,0,1.7,1.7,0.6,2.2,0.05,0.00,0.05,0.05,0.04,0.01,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,28.6,0.37,0.11,0.14,0.50,10.8,872,1205,72.4,19108,9451,252,307,82.1,423,530,79.8,180,326,55.2,7,56,8,3,65,1161,37,33,1,10,10,2,0,7,17,0.45,17,0.45,14,0,1,0,1,1,0,0.00,0,0,0,0,0,0,58,38,46,12,0,26,50,52.0,24,55,37,18,60,118,278,2,37.6,1700,347,1044,585,83,36,1700,29,22,75.9,7,24.1,750,4084,2241,9,8,2,13,8,717,8,0.0,0.0
Aiden O'Neill,MF,Burnley,19,1,0,1.0,0.0,0,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3500,182000
Ainsley Maitland-Niles,"DF,MF",Arsenal,19,15,8,914.0,10.2,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,0.00,0.00,0.00,0.00,0.02,0.08,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.49,0.00,0.00,,20.9,530,640,82.8,8182,2475,290,321,90.3,178,215,82.8,42,59,71.2,8,37,14,4,35,550,87,6,0,3,20,81,0,3,18,1.77,18,1.77,14,0,4,0,0,0,0,0.00,0,0,0,0,0,0,25,17,12,7,6,14,31,45.2,17,15,1,14,12,37,35,2,10.2,762,36,245,313,210,19,762,25,20,80.0,5,20.0,425,1881,937,21,18,5,18,14,478,58,4000,208000
Alberto Moreno,DF,Liverpool,25,16,14,1266.0,14.1,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,0.00,0.00,0.00,0.00,0.04,0.06,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,16.7,0.85,0.14,0.00,0.00,22.9,784,964,81.3,14433,4503,310,345,89.9,398,466,85.4,70,125,56.0,15,44,16,6,59,813,150,18,1,6,51,129,3,1,34,2.42,34,2.42,27,1,1,2,2,1,3,0.21,2,0,0,0,1,0,35,26,21,12,2,13,29,44.8,16,19,2,17,12,47,44,0,14.1,1087,31,291,536,273,15,1087,9,6,66.7,3,33.3,501,2290,1261,32,19,2,7,4,683,81,65000,3380000
Aleksandar Dragović,DF,Leicester City,26,11,7,769.0,8.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.12,0.00,0.00,,8.6,301,361,83.4,6498,2286,81,95,85.3,160,184,87.0,54,72,75.0,0,18,0,0,27,331,29,7,0,4,1,22,0,1,3,0.35,3,0.35,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,13,10,13,0,0,7,13,53.8,6,16,8,8,16,29,46,0,8.5,456,48,233,208,17,2,456,1,1,100.0,0,0.0,211,1231,825,4,1,0,1,2,234,1,51423,2674000
Aleksandar Mitrović,FW,Newcastle Utd,22,6,0,95.0,1.1,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.3,0.95,0.00,0.95,0.95,1.14,0.15,1.14,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,50.0,3.79,1.89,0.25,0.50,9.6,40,55,72.7,496,72,24,30,80.0,13,18,72.2,0,0,,3,1,0,0,3,54,1,0,0,0,0,1,0,0,5,4.79,5,4.79,4,0,1,0,0,0,1,0.96,0,0,1,0,0,0,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,1.1,70,2,2,27,42,10,70,4,2,50.0,2,50.0,53,253,88,4,2,2,2,3,61,15,0.0,0.0
Alex Iwobi,"MF,FW",Arsenal,21,26,22,1830.0,20.3,3,5,8,3,0,0,1,0,3.9,3.9,3.5,7.3,0.15,0.25,0.39,0.15,0.19,0.17,0.19,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,22,48.9,2.21,1.08,0.07,0.14,18.4,997,1171,85.1,14645,3786,587,636,92.3,321,379,84.7,53,78,67.9,36,93,31,0,138,1151,17,3,12,5,20,11,1,3,82,4.03,82,4.03,70,1,5,4,2,0,12,0.59,11,0,0,1,0,0,19,15,8,8,3,5,18,27.8,13,19,1,18,7,26,10,1,20.3,1358,16,146,604,627,80,1358,52,36,69.2,16,30.8,1058,6230,3418,93,80,25,42,31,1131,146,70000,3640000
Alex McCarthy,GK,Southampton,27,18,18,1620.0,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,68,42,63.2,4,22.2,20.5,0.30,99,340,29.1,304,56,63.8,44.2,158,92.4,59.5,311,19,6.1,10,0.56,10.9,0,0,,0.00,0.00,,,,212,462,45.9,8168,7016,24,25,96.0,69,69,100.0,119,368,32.3,0,5,0,0,0,246,216,58,0,1,0,0,0,0,2,0.11,2,0.11,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,18.0,495,417,493,2,0,0,495,0,0,,0,,207,1574,1128,0,0,0,0,0,120,0,40000,2080000
Alex Oxlade-Chamberlain,DF,Arsenal,23,3,3,241.0,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.00,0.00,0.00,0.00,0.09,0.19,0.09,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,22.2,3.36,0.75,0.00,0.00,25.3,124,158,78.5,2464,689,53,58,91.4,48,57,84.2,23,33,69.7,5,12,8,3,16,136,20,3,0,3,16,17,0,2,13,4.85,13,4.85,9,1,1,1,0,1,0,0.00,0,0,0,0,0,0,5,3,2,2,1,2,3,66.7,1,5,2,3,6,11,8,0,2.7,203,8,43,85,85,4,203,21,17,81.0,4,19.0,125,1178,667,19,18,5,5,4,125,21,120000,6240000
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,23,32,14,1493.0,16.6,3,7,10,3,0,0,3,0,2.2,2.2,3.8,5.9,0.18,0.42,0.60,0.18,0.13,0.23,0.13,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,22.2,3.36,0.75,0.00,0.00,25.3,124,158,78.5,2464,689,53,58,91.4,48,57,84.2,23,33,69.7,5,12,8,3,16,136,20,3,0,3,16,17,0,2,13,4.85,13,4.85,9,1,1,1,0,1,0,0.00,0,0,0,0,0,0,5,3,2,2,1,2,3,66.7,1,5,2,3,6,11,8,0,2.7,203,8,43,85,85,4,203,21,17,81.0,4,19.0,125,1178,667,19,18,5,5,4,125,21,120000,6240000
Alex Pritchard,"MF,FW",Huddersfield,24,14,12,998.0,11.1,1,1,2,1,0,0,1,0,1.2,1.2,1.9,3.1,0.09,0.09,0.18,0.09,0.11,0.17,0.11,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4,20.0,1.80,0.36,0.05,0.25,21.7,259,393,65.9,4251,1189,142,173,82.1,77,116,66.4,27,65,41.5,20,26,12,3,44,334,58,16,1,1,48,0,23,1,38,3.43,38,3.43,22,6,3,3,4,0,3,0.27,1,0,1,0,1,0,18,8,2,6,10,10,21,47.6,11,6,1,5,5,23,11,0,11.1,523,12,47,215,271,19,523,22,14,63.6,8,36.4,302,1592,567,24,26,8,28,24,339,70,30000,1560000
Alexander Sørloth,FW,Crystal Palace,21,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.00,0.00,0.00,0.00,0.13,0.12,0.13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,42.9,1.75,0.75,0.00,0.00,17.3,65,114,57.0,851,221,40,62,64.5,19,33,57.6,2,7,28.6,6,6,1,0,7,111,3,1,0,2,7,0,0,0,14,3.50,14,3.50,8,0,3,2,0,1,1,0.25,1,0,0,0,0,0,6,3,1,4,1,4,12,33.3,8,5,0,5,2,8,5,0,4.0,157,4,28,69,65,17,157,12,11,91.7,1,8.3,101,553,338,13,9,4,9,9,110,24,20000,1040000
