Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Cresswell,DF,West Ham,32,28,24,2235.0,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,0.00,0.04,0.04,0.00,0.01,0.15,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,11.1,0.36,0.04,0.00,0.00,22.5,1127,1448,77.8,18285,8587,626,670,93.4,387,497,77.9,100,206,48.5,40,91,28,15,145,1157,288,40,1,5,133,192,56,3,73,2.94,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0,21,11,12,7,2,12,31,38.7,19,21,11,10,27,48,56,0,24.8,1607,97,507,668,438,13,1607,7,2,28.6,4,57.1,766,3497,1751,35,26,1,6,6,960,82,50000,2600000
Aaron Hickey,DF,Brentford,20,26,23,1916.0,21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,0.00,0.05,0.05,0.00,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,18.2,0.52,0.09,0.00,0.00,21.5,695,838,82.9,10998,3275,373,411,90.8,265,310,85.5,46,80,57.5,6,62,13,4,81,743,93,11,2,1,27,82,0,2,20,0.94,20,0.94,14,1,1,2,2,0,2,0.09,1,0,0,1,0,0,38,26,27,11,0,18,32,56.3,14,18,7,11,17,55,32,1,21.3,1028,47,328,499,211,21,1028,45,17,37.8,18,40.0,616,3295,1802,41,17,3,16,13,624,47,30000,1560000
Aaron Ramsdale,GK,Arsenal,24,38,38,3420.0,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,136,94,70.6,14,36.8,40.0,0.28,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1,0,0,,0.00,0.00,,,,761,1111,68.5,18974,13109,190,196,96.9,383,390,98.2,186,519,35.8,0,30,2,0,8,872,237,83,0,6,0,1,0,2,3,0.08,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,20,6,38.0,1196,872,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,630,0,60000,3120000
Aaron Wan-Bissaka,DF,Manchester Utd,24,19,16,1435.0,15.9,0,0,0,0,0,0,2,0,1.2,1.2,1.0,2.2,0.00,0.00,0.00,0.00,0.07,0.06,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,20.0,0.63,0.13,0.00,0.00,14.7,706,840,84.0,9538,3292,448,483,92.8,194,240,80.8,28,44,63.6,15,48,10,2,55,715,123,4,2,2,14,119,0,2,30,1.88,30,1.88,29,0,0,1,0,0,1,0.06,1,0,0,0,0,0,40,25,20,17,3,23,25,92.0,2,24,8,16,22,62,41,0,15.9,1026,75,346,400,286,44,1026,35,17,48.6,18,51.4,524,2614,1370,41,24,4,14,10,600,64,90000,4680000
Abdoulaye Doucouré,MF,Everton,29,25,17,1533.0,17.0,5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,0.29,0.12,0.41,0.29,0.14,0.13,0.14,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,8,40.0,1.17,0.47,0.25,0.63,13.2,430,548,78.5,5637,1333,262,317,82.6,140,170,82.4,7,13,53.8,22,29,10,0,38,530,16,0,1,0,8,0,0,2,45,2.65,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0,31,20,9,15,7,12,37,32.4,25,26,3,23,13,44,11,0,17.0,713,18,156,327,242,45,713,33,20,60.6,11,33.3,371,1689,896,23,16,7,27,13,440,66,120000,6240000
Adam Armstrong,"FW,MF",Southampton,25,30,14,1335.0,14.8,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,0.13,0.07,0.20,0.13,0.14,0.09,0.14,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,12,48.0,1.69,0.81,0.08,0.17,15.9,220,302,72.8,3235,585,120,146,82.2,71,89,79.8,13,23,56.5,11,13,10,2,16,267,35,0,0,4,14,3,0,0,24,1.62,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0,14.8,458,11,71,176,222,46,458,43,13,30.2,25,58.1,255,2338,996,39,29,11,24,22,273,70,55000,2860000
Adam Forshaw,MF,Leeds United,30,12,5,479.0,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.9,0.00,0.00,0.00,0.00,0.01,0.16,0.01,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.19,0.00,0.00,,26.4,196,244,80.3,3318,1127,102,111,91.9,59,67,88.1,28,51,54.9,8,30,4,2,33,222,22,7,0,2,20,2,9,0,16,3.00,16,3.00,10,6,0,0,0,0,0,0.00,0,0,0,0,0,0,12,9,5,7,0,7,17,41.2,10,9,1,8,4,16,2,0,5.3,293,7,64,171,62,1,293,11,8,72.7,3,27.3,179,1085,360,4,8,0,6,8,186,7,20000,1040000
Adam Lallana,"MF,FW",Brighton,34,16,12,722.0,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,0.25,0.12,0.37,0.25,0.11,0.12,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,62.5,1.00,0.62,0.25,0.40,13.3,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,14,23,9,1,33,304,11,2,0,0,3,2,1,2,22,2.75,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0,8.0,373,6,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,90000,4680000
Adam Smith,DF,Bournemouth,31,37,34,2943.0,32.7,0,1,1,0,0,0,11,0,0.5,0.5,1.3,1.8,0.00,0.03,0.03,0.00,0.02,0.04,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,0.15,0.03,0.00,0.00,16.2,953,1264,75.4,16233,6898,450,513,87.7,398,501,79.4,88,194,45.4,16,70,28,19,83,987,276,22,0,2,48,254,0,1,29,0.89,29,0.89,25,1,0,2,0,1,2,0.06,2,0,0,0,0,0,49,29,27,19,3,29,60,48.3,31,30,13,17,25,74,81,1,32.7,1527,112,602,650,296,17,1527,30,6,20.0,17,56.7,647,2762,1368,28,21,3,21,4,771,54,35000,1820000
Adam Webster,DF,Brighton,27,27,23,1985.0,22.1,0,0,0,0,0,0,2,0,1.8,1.8,0.2,1.9,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,11.1,0.82,0.09,0.00,0.00,11.2,1514,1715,88.3,27890,10260,565,612,92.3,811,886,91.5,125,178,70.2,6,120,5,1,119,1650,63,28,0,6,2,35,0,2,20,0.91,20,0.91,19,1,0,0,0,0,1,0.05,1,0,0,0,0,0,22,12,10,9,3,11,19,57.9,8,30,19,11,19,41,55,4,22.1,1888,170,819,969,108,27,1888,8,3,37.5,4,50.0,1228,6306,3739,19,18,0,11,5,1369,9,55000,2860000
