Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Connolly,FW,Brighton,19,24,14,1258.0,14.0,3,1,4,3,0,0,0,0,4.0,4.0,0.5,4.5,0.21,0.07,0.29,0.21,0.28,0.04,0.28,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,13,34.2,2.72,0.93,0.08,0.23,16.2,113,155,72.9,1387,183,66,83,79.5,30,40,75.0,2,2,100.0,6,9,2,0,10,141,14,0,1,0,9,0,0,0,27,1.93,27,1.93,10,0,2,4,11,0,5,0.36,1,0,1,1,2,0,7,6,1,4,2,3,10,30.0,7,11,0,11,0,7,3,0,14.0,318,1,17,131,173,55,318,20,6,30.0,14,70.0,198,1150,417,21,7,12,53,20,225,86,7500,390000
Aaron Cresswell,DF,West Ham,29,31,31,2727.0,30.3,3,0,3,3,0,0,7,0,1.4,1.4,3.2,4.5,0.10,0.00,0.10,0.10,0.05,0.11,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,29.4,0.56,0.17,0.18,0.60,21.7,1232,1705,72.3,20084,9913,676,753,89.8,425,597,71.2,110,256,43.0,26,135,21,17,166,1314,384,45,0,5,127,320,19,7,51,1.68,51,1.68,37,8,1,1,4,0,1,0.03,1,0,0,0,0,0,43,26,21,18,4,23,46,50.0,23,33,10,23,35,78,75,2,30.3,1975,100,542,922,520,24,1975,34,11,32.4,23,67.6,934,3750,1808,43,33,2,18,10,1043,97,50000,2600000
Aaron Lennon,MF,Burnley,32,16,4,496.0,5.5,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.2,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.18,0.00,0.00,,14.7,84,127,66.1,1046,270,55,66,83.3,23,30,76.7,2,11,18.2,2,5,2,1,7,126,1,0,0,0,8,1,0,0,7,1.27,7,1.27,6,0,0,0,1,0,1,0.18,1,0,0,0,0,0,14,8,7,4,3,7,10,70.0,3,6,1,5,8,22,3,0,5.5,182,12,32,77,73,5,182,8,3,37.5,5,62.5,97,599,286,11,8,4,7,4,102,18,35000,1820000
Aaron Mooy,"MF,FW",Brighton,28,31,25,2085.0,23.2,2,2,4,2,0,0,3,1,2.3,2.3,4.5,6.8,0.09,0.09,0.17,0.09,0.10,0.19,0.10,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,8,24.2,1.42,0.35,0.06,0.25,20.9,818,1092,74.9,12922,3701,459,513,89.5,245,311,78.8,81,169,47.9,39,87,26,5,158,1003,81,23,4,12,109,5,53,8,78,3.37,78,3.37,56,13,4,3,2,0,7,0.30,4,1,2,0,0,0,37,24,9,18,10,6,40,15.0,34,36,7,29,23,60,32,1,23.2,1362,42,170,624,583,38,1362,56,38,67.9,18,32.1,765,4655,2277,71,50,12,44,42,929,135,32500,1690000
Aaron Ramsdale,GK,Bournemouth,21,37,37,3330.0,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,0.00,0.03,0.03,0.00,0.00,0.02,0.00,0.02,1.68,187,124,69.5,5,13.5,60.7,0.30,183,607,30.1,843,185,48.2,39.2,288,69.8,53.5,591,20,3.4,25,0.68,11.6,0,0,,0.00,0.00,,,,675,1136,59.4,20764,15997,124,128,96.9,308,310,99.4,242,689,35.1,2,20,1,1,0,707,424,136,0,2,1,0,0,5,3,0.08,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,4,3,4,0,0,3,3,100.0,0,0,0,0,0,4,25,1,37.0,1246,1088,1232,13,1,0,1246,0,0,,0,,662,4021,2641,0,0,0,0,0,403,0,6923,360000
Aaron Wan-Bissaka,DF,Manchester Utd,21,35,34,3070.0,34.1,0,4,4,0,0,0,8,0,0.7,0.7,3.0,3.7,0.00,0.12,0.12,0.00,0.02,0.09,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,14.3,0.21,0.03,0.00,0.00,15.5,1673,2128,78.6,22117,8018,1083,1214,89.2,473,620,76.3,43,107,40.2,25,102,21,9,134,1746,375,8,2,2,103,367,0,7,51,1.50,51,1.50,45,1,4,1,0,0,8,0.23,7,0,1,0,0,0,129,80,71,50,8,64,86,74.4,22,46,13,33,66,195,83,0,34.1,2571,101,737,1113,745,41,2571,82,54,65.9,28,34.1,1245,6447,3535,100,67,21,34,44,1466,175,90000,4680000
Abdoulaye Doucouré,MF,Watford,26,37,36,3156.0,35.1,4,2,6,4,0,0,9,0,5.2,5.2,3.9,9.0,0.11,0.06,0.17,0.11,0.15,0.11,0.15,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,12,19.7,1.74,0.34,0.07,0.33,18.3,1320,1712,77.1,19007,4672,714,862,82.8,456,548,83.2,61,101,60.4,38,120,27,2,161,1693,14,8,0,4,29,0,2,5,95,2.71,95,2.71,69,1,11,9,2,3,8,0.23,6,0,0,2,0,0,64,30,29,29,6,16,57,28.1,41,46,8,38,31,95,32,0,35.1,2090,68,387,1100,646,100,2090,67,40,59.7,27,40.3,1241,5965,3130,69,68,16,58,31,1353,96,70000,3640000
Adam Idah,"FW,MF",Norwich City,18,12,1,228.0,2.5,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.1,0.00,0.00,0.00,0.00,0.40,0.02,0.40,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,33.3,2.37,0.79,0.00,0.00,17.5,36,49,73.5,385,61,27,30,90.0,5,7,71.4,1,2,50.0,1,2,0,0,2,44,5,0,0,0,0,1,0,0,2,0.79,2,0.79,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2,2,1,0,1,2,3,66.7,1,4,0,4,0,2,1,0,2.5,83,1,10,38,35,8,83,4,0,0.0,4,100.0,48,230,64,5,1,1,10,5,53,11,0.0,0.0
Adam Lallana,"MF,FW",Liverpool,31,15,3,382.0,4.2,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.3,0.24,0.24,0.47,0.24,0.18,0.14,0.18,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,1.18,0.24,0.20,1.00,16.3,229,272,84.2,2865,728,152,166,91.6,57,66,86.4,6,13,46.2,4,24,3,0,23,267,3,1,1,2,3,1,0,2,8,1.88,8,1.88,7,0,0,0,1,0,1,0.24,1,0,0,0,0,0,19,9,7,9,3,6,21,28.6,15,7,0,7,5,24,3,0,4.2,340,7,49,179,116,13,340,5,2,40.0,3,60.0,219,820,392,9,11,1,13,5,234,17,110000,5720000
Adam Masina,DF,Watford,25,26,20,1821.0,20.2,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.5,0.05,0.00,0.05,0.05,0.05,0.03,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,20.0,0.74,0.15,0.07,0.33,21.1,574,962,59.7,10202,5055,276,342,80.7,223,367,60.8,65,198,32.8,11,53,13,11,73,743,213,15,1,13,69,190,8,6,24,1.19,24,1.19,21,2,0,1,0,0,1,0.05,0,1,0,0,0,0,38,22,24,11,3,14,37,37.8,23,26,12,14,28,66,66,0,20.2,1197,88,394,553,259,19,1197,16,9,56.3,7,43.8,468,2177,1037,18,15,2,16,12,516,32,28077,1460000
