Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Connolly,FW,Brighton,20,17,9,791.0,8.8,2,1,3,2,0,0,0,0,4.0,4.0,0.2,4.2,0.23,0.11,0.34,0.23,0.45,0.02,0.45,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,34.8,2.62,0.91,0.09,0.25,14.0,72,94,76.6,844,176,51,65,78.5,14,16,87.5,0,1,0.0,6,3,1,0,4,89,5,0,0,0,2,0,0,0,15,1.71,15,1.71,10,0,2,1,2,0,1,0.11,1,0,0,0,0,0,6,3,1,3,2,0,2,0.0,2,4,0,4,0,6,2,0,8.8,174,1,12,57,108,35,174,11,5,45.5,6,54.5,106,652,276,12,11,5,27,8,134,58,23077,1200000
Aaron Cresswell,DF,West Ham,30,36,36,3170.0,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,0.00,0.23,0.23,0.00,0.03,0.18,0.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,21.1,0.54,0.11,0.00,0.00,25.4,1586,2141,74.1,28632,13845,754,847,89.0,606,755,80.3,198,429,46.2,58,174,26,18,162,1671,447,101,2,20,207,259,87,23,103,2.92,103,2.92,51,44,1,5,2,0,14,0.40,6,5,0,2,1,0,32,13,15,15,2,18,32,56.3,14,29,14,15,32,64,79,2,35.2,2366,169,758,1071,555,14,2366,10,4,40.0,6,60.0,1148,5201,2524,35,31,0,13,9,1349,96,50000,2600000
Aaron Ramsdale,GK,Sheffield Utd,22,38,38,3420.0,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,206,145,70.9,5,13.2,54.3,0.26,263,817,32.2,866,128,64.5,45.5,281,91.8,64.5,578,33,5.7,34,0.89,12.8,0,0,,0.00,0.00,,,,569,1153,49.3,22218,19232,71,73,97.3,176,179,98.3,318,889,35.8,2,44,1,0,0,733,414,133,0,5,0,0,0,6,8,0.21,8,0.21,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,22,6,38.0,1274,1085,1261,12,2,2,1274,2,2,100.0,0,0.0,650,4462,2614,0,0,0,2,0,421,0,3077,160000
Aaron Wan-Bissaka,DF,Manchester Utd,22,34,34,3060.0,34.0,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2,0.06,0.12,0.18,0.06,0.03,0.07,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,57.1,0.21,0.12,0.29,0.50,15.2,1805,2147,84.1,24032,8316,1179,1281,92.0,516,618,83.5,43,90,47.8,31,93,32,13,145,1854,288,11,0,2,60,277,0,5,57,1.68,57,1.68,54,1,1,0,0,1,8,0.24,8,0,0,0,0,0,88,54,53,29,6,32,45,71.1,13,65,17,48,62,150,84,2,34.0,2547,116,807,1085,677,32,2547,60,34,56.7,25,41.7,1294,7565,3797,89,65,5,34,21,1551,176,90000,4680000
Abdoulaye Doucouré,MF,Everton,27,29,29,2443.0,27.1,2,3,5,2,0,0,6,0,2.3,2.3,2.0,4.3,0.07,0.11,0.18,0.07,0.09,0.07,0.09,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,27.8,0.66,0.18,0.11,0.40,17.4,1141,1354,84.3,17517,3953,583,666,87.5,441,490,90.0,65,83,78.3,21,65,23,1,104,1339,11,10,3,4,9,0,1,4,50,1.84,50,1.84,42,1,2,2,0,3,7,0.26,7,0,0,0,0,0,52,32,25,19,8,14,43,32.6,29,24,7,17,39,91,31,1,27.1,1598,61,423,881,316,33,1598,33,21,63.6,12,36.4,857,4317,1973,34,41,3,35,26,1040,70,75000,3900000
Aboubakar Kamara,"FW,MF",Fulham,25,11,2,315.0,3.5,0,0,0,0,0,0,1,1,0.5,0.5,0.3,0.9,0.00,0.00,0.00,0.00,0.16,0.09,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,50.0,1.14,0.57,0.00,0.00,20.4,86,127,67.7,1291,253,50,61,82.0,28,36,77.8,4,15,26.7,6,5,2,1,6,122,4,0,0,1,13,1,0,1,9,2.56,9,2.56,7,0,1,0,1,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,0,5,0.0,5,6,0,6,1,3,0,0,3.5,171,0,14,72,88,4,171,9,4,44.4,5,55.6,107,576,271,11,7,0,13,8,128,30,12500,650000
Adam Lallana,"MF,FW",Brighton,32,30,16,1596.0,17.7,1,1,2,1,0,0,0,0,1.6,1.6,2.6,4.2,0.06,0.06,0.11,0.06,0.09,0.14,0.09,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,22.7,1.24,0.28,0.05,0.20,17.3,792,944,83.9,11000,2987,450,511,88.1,240,281,85.4,35,55,63.6,25,61,26,2,109,918,22,11,2,2,12,5,3,4,56,3.16,56,3.16,50,0,2,1,3,0,4,0.23,4,0,0,0,0,0,28,13,11,13,4,8,39,20.5,31,18,3,15,15,43,13,0,17.7,1104,26,207,556,349,61,1104,28,18,64.3,10,35.7,586,2726,1324,33,15,13,24,15,808,77,90385,4700000
Adam Webster,DF,Brighton,25,29,29,2594.0,28.8,1,0,1,1,0,0,4,0,2.0,2.0,0.2,2.2,0.03,0.00,0.03,0.03,0.07,0.01,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,7,28.0,0.87,0.24,0.04,0.14,13.8,1508,1866,80.8,28793,10639,528,620,85.2,805,912,88.3,153,277,55.2,5,125,7,0,133,1806,56,33,0,18,1,23,0,4,28,0.97,28,0.97,24,0,0,1,2,1,1,0.03,1,0,0,0,0,0,29,16,15,10,4,12,25,48.0,13,29,16,13,47,76,92,3,28.8,2122,203,965,1015,159,32,2122,17,17,100.0,0,0.0,1309,8566,5757,42,36,2,27,6,1466,4,35000,1820000
Adama Traoré,"FW,MF",Wolves,24,37,28,2649.0,29.4,2,2,4,2,0,0,4,0,2.0,2.0,4.8,6.9,0.07,0.07,0.14,0.07,0.07,0.16,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13,30.2,1.46,0.44,0.05,0.15,19.7,572,873,65.5,8290,1985,338,418,80.9,175,277,63.2,35,75,46.7,55,36,30,18,70,848,23,1,1,2,150,21,0,2,115,3.91,115,3.91,74,0,25,3,13,0,5,0.17,3,0,1,0,1,0,28,16,11,13,4,13,21,61.9,8,23,1,22,7,35,12,1,29.4,1267,20,118,565,626,106,1267,216,153,70.8,63,29.2,845,9040,5204,219,111,58,112,65,987,220,43077,2240000
Ademola Lookman,"FW,MF",Fulham,22,34,31,2747.0,30.5,4,4,8,4,0,1,5,0,6.3,5.5,5.2,10.7,0.13,0.13,0.26,0.13,0.21,0.17,0.18,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,22,32.4,2.23,0.72,0.06,0.18,17.8,892,1199,74.4,13128,3607,497,577,86.1,295,378,78.0,56,128,43.8,61,51,41,5,110,1035,160,37,6,3,134,12,84,4,127,4.16,127,4.16,82,24,6,9,6,0,9,0.29,5,2,1,1,0,0,35,11,18,9,8,13,44,29.5,31,31,1,30,20,55,9,0,30.5,1576,12,145,650,810,132,1575,128,82,64.1,46,35.9,962,6839,3071,110,67,52,107,73,1075,236,49500,2574000
