Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Weekly Wages,Annual Wages
Alejo Véliz,FW,Tottenham,19,8,0,50.0,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1.80,0.00,1.80,1.80,0.45,0.00,0.45,0.45,25000,1300000
Aleksandar Mitrović,FW,Fulham,28,1,0,33.0,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,,
Alex Iwobi,MF,Everton,27,2,2,140.0,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.00,0.00,0.00,0.00,0.21,0.14,0.21,0.35,80000,4160000
Alex Iwobi,"FW,MF",Fulham,27,30,25,2192.0,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10.0,0.21,0.08,0.29,0.21,0.22,0.19,0.22,0.41,80000,4160000
Alex Matos,MF,Chelsea,18,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Alex Murphy,"DF,FW",Newcastle Utd,19,2,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Alex Scott,MF,Bournemouth,19,23,11,1014.0,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,0.09,0.09,0.18,0.09,0.06,0.15,0.06,0.22,40000,2080000
Alexander Isak,FW,Newcastle Utd,23,30,27,2255.0,25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,0.84,0.08,0.92,0.64,0.81,0.15,0.62,0.77,120000,6240000
Alexis Mac Allister,MF,Liverpool,24,33,31,2599.0,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,0.17,0.17,0.35,0.14,0.13,0.12,0.10,0.22,150000,7800000
Alfie Doughty,DF,Luton Town,23,37,34,2925.0,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,0.06,0.25,0.31,0.06,0.04,0.19,0.04,0.23,7500,390000
Alfie Gilchrist,DF,Chelsea,19,11,2,207.0,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0.43,0.00,0.43,0.43,0.14,0.00,0.14,0.14,,
Alisson,GK,Liverpool,30,28,28,2520.0,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150000,7800000
Alphonse Areola,GK,West Ham,30,31,31,2699.0,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120000,6240000
Amad Diallo,"FW,MF",Manchester Utd,21,9,3,390.0,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,0.23,0.23,0.46,0.23,0.12,0.24,0.12,0.36,28846,1500000
Amadou Diallo,MF,Newcastle Utd,20,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Amadou Onana,MF,Everton,21,30,23,2091.0,23.2,2,0,2,2,0,0,5,0,2.0,2.0,2.7,4.7,0.09,0.00,0.09,0.09,0.09,0.11,0.09,0.20,100000,5200000
Amari'i Bell,DF,Luton Town,29,21,21,1720.0,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.04,10000,520000
Ameen Al-Dakhil,DF,Burnley,21,13,12,1056.0,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,0.09,0.00,0.09,0.09,0.11,0.01,0.11,0.12,15000,780000
Anass Zaroury,"FW,MF",Burnley,22,6,1,152.0,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,0.00,0.00,0.00,0.00,0.10,0.02,0.10,0.12,15000,780000
Andre Brooks,"MF,DF",Sheffield Utd,19,20,12,938.0,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.05,15000,780000
Andreas Pereira,MF,Fulham,27,37,34,2613.0,29.0,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,0.10,0.24,0.34,0.10,0.16,0.24,0.16,0.40,50000,2600000
Andrew Omobamidele,DF,Nott'ham Forest,21,11,8,783.0,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.03,35000,1820000
Andrew Robertson,DF,Liverpool,29,23,18,1693.0,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,0.16,0.11,0.27,0.16,0.10,0.29,0.10,0.39,100000,5200000
Andrey Santos,MF,Nott'ham Forest,19,1,0,8.0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,,
Andros Townsend,"MF,FW",Luton Town,32,27,14,1210.0,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,0.07,0.22,0.30,0.07,0.09,0.10,0.09,0.19,12500,650000
André Gomes,"MF,FW",Everton,30,12,3,508.0,5.6,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,0.18,0.00,0.18,0.18,0.05,0.07,0.05,0.13,112308,5840000
André Onana,GK,Manchester Utd,27,38,38,3420.0,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120000,6240000
Anel Ahmedhodžić,DF,Sheffield Utd,24,31,29,2649.0,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,0.07,0.00,0.07,0.07,0.11,0.03,0.11,0.14,30000,1560000
Angelo Ogbonna,DF,West Ham,35,11,7,635.0,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,70000,3640000
Anis Ben Slimane,MF,Sheffield Utd,22,15,4,419.0,4.7,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,0.00,0.00,0.00,0.00,0.17,0.06,0.17,0.23,,
Ansu Fati,"MF,FW",Brighton,20,19,3,521.0,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,0.35,0.00,0.35,0.35,0.59,0.14,0.59,0.73,160000,8320000
Anthony Elanga,"FW,MF",Nott'ham Forest,21,36,25,2433.0,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,0.18,0.33,0.52,0.18,0.24,0.25,0.24,0.49,25000,1300000
Anthony Gordon,FW,Newcastle Utd,22,35,34,2890.0,32.1,11,10,21,10,1,1,12,1,10.2,9.4,8.0,17.4,0.34,0.31,0.65,0.31,0.32,0.25,0.29,0.54,60000,3120000
Anthony Martial,FW,Manchester Utd,27,13,5,448.0,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,0.20,0.00,0.20,0.20,0.25,0.05,0.25,0.29,250000,13000000
Antoine Semenyo,FW,Bournemouth,23,33,25,2105.0,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,0.34,0.09,0.43,0.34,0.20,0.14,0.20,0.34,20000,1040000
Antonee Robinson,DF,Fulham,25,37,37,3265.0,36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,0.00,0.17,0.17,0.00,0.02,0.11,0.02,0.13,50000,2600000
Antony,FW,Manchester Utd,23,29,15,1324.0,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,0.07,0.07,0.14,0.07,0.23,0.19,0.23,0.42,200000,10400000
Antwoine Hackford,FW,Sheffield Utd,19,2,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Arijanet Muric,GK,Burnley,24,10,10,900.0,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,25000,1300000
Armando Broja,FW,Chelsea,21,13,6,454.0,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,0.20,0.00,0.20,0.20,0.47,0.03,0.47,0.50,40000,2080000
Armando Broja,FW,Fulham,21,8,0,88.0,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0.00,1.02,1.02,0.00,0.00,0.41,0.00,0.41,40000,2080000
Arnaut Danjuma,"MF,FW",Everton,26,14,5,595.0,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,0.15,0.00,0.15,0.15,0.40,0.17,0.40,0.57,52500,2730000
Ashley Young,"DF,MF",Everton,38,31,27,2280.0,25.3,0,0,0,0,0,0,7,1,0.6,0.6,1.5,2.1,0.00,0.00,0.00,0.00,0.02,0.06,0.02,0.08,40000,2080000
Auston Trusty,DF,Sheffield Utd,24,32,28,2572.0,28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,0.00,0.00,0.00,0.00,0.01,0.04,0.01,0.05,25000,1300000
Axel Disasi,DF,Chelsea,25,31,29,2579.0,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,0.07,0.00,0.07,0.07,0.08,0.01,0.08,0.09,80000,4160000
Aymeric Laporte,DF,Manchester City,29,1,0,12.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,,
Bart Verbruggen,GK,Brighton,20,21,21,1890.0,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35000,1820000
Ben Brereton,"FW,MF",Sheffield Utd,24,14,14,1105.0,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,0.49,0.08,0.57,0.41,0.49,0.12,0.43,0.55,35000,1820000
Ben Chilwell,DF,Chelsea,26,13,9,756.0,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,0.00,0.12,0.12,0.00,0.14,0.26,0.14,0.41,200000,10400000
Ben Davies,DF,Tottenham,30,17,12,1090.0,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,0.08,0.00,0.08,0.08,0.19,0.03,0.19,0.23,80000,4160000
Ben Doak,FW,Liverpool,17,1,0,14.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15000,780000
Ben Godfrey,DF,Everton,25,15,13,1120.0,12.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2.0,0.00,0.00,0.00,0.00,0.14,0.02,0.14,0.16,75000,3900000
Ben Johnson,"DF,FW",West Ham,23,14,4,544.0,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,20000,1040000
Ben Mee,DF,Brentford,33,16,15,1272.0,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,0.14,0.00,0.14,0.14,0.10,0.02,0.10,0.13,55000,2860000
Ben Osborn,"DF,MF",Sheffield Utd,28,24,14,1367.0,15.2,0,2,2,0,0,0,3,0,0.2,0.2,0.9,1.1,0.00,0.13,0.13,0.00,0.01,0.06,0.01,0.07,20000,1040000
Ben Parkinson,FW,Newcastle Utd,18,1,0,25.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Ben White,DF,Arsenal,25,37,35,2988.0,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5.0,0.12,0.12,0.24,0.12,0.03,0.11,0.03,0.15,120000,6240000
Benicio Boaitey,"FW,DF",Brighton,19,5,0,40.0,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.05,0.13,0.05,0.19,,
Benoît Badiashile,DF,Chelsea,22,18,15,1338.0,14.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,0.00,0.07,0.07,0.00,0.02,0.10,0.02,0.12,90000,4680000
Benson Manuel,"MF,FW",Burnley,26,8,1,116.0,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.05,0.03,0.05,0.08,25000,1300000
Bernardo Silva,"MF,FW",Manchester City,28,33,29,2578.0,28.6,6,9,15,6,0,0,8,0,3.7,3.7,7.6,11.3,0.21,0.31,0.52,0.21,0.13,0.27,0.13,0.40,300000,15600000
Bernd Leno,GK,Fulham,31,38,38,3420.0,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130000,6760000
Bertrand Traoré,"DF,FW",Aston Villa,27,2,0,11.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77885,4050000
Beto,FW,Everton,25,30,9,951.0,10.6,3,0,3,3,0,1,2,0,6.8,6.0,0.9,6.9,0.28,0.00,0.28,0.28,0.64,0.09,0.57,0.66,50000,2600000
Billy Gilmour,MF,Brighton,22,30,24,2120.0,23.6,0,1,1,0,0,0,8,1,1.0,1.0,2.0,3.0,0.00,0.04,0.04,0.00,0.04,0.09,0.04,0.13,20000,1040000
Bobby Clark,MF,Liverpool,18,5,1,89.0,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,,
Bobby Reid,FW,Fulham,30,33,17,1423.0,15.8,6,2,8,6,0,0,4,0,4.6,4.6,1.8,6.4,0.38,0.13,0.51,0.38,0.28,0.11,0.28,0.40,35000,1820000
Boubacar Kamara,MF,Aston Villa,23,20,20,1652.0,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,0.00,0.05,0.05,0.00,0.01,0.07,0.01,0.08,150000,7800000
Boubacar Traoré,MF,Wolves,21,24,7,819.0,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,0.00,0.00,0.00,0.00,0.03,0.04,0.03,0.07,55000,2860000
Brandon Aguilera,FW,Nott'ham Forest,20,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000,520000
Brennan Johnson,FW,Tottenham,22,32,23,2085.0,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,0.22,0.43,0.65,0.22,0.44,0.35,0.44,0.79,70000,3640000
Brennan Johnson,"FW,MF",Nott'ham Forest,22,3,3,237.0,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.00,0.00,0.00,0.00,0.12,0.08,0.12,0.21,70000,3640000
Bruno Fernandes,"MF,FW",Manchester Utd,28,35,35,3118.0,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,0.29,0.23,0.52,0.17,0.29,0.34,0.18,0.51,240000,12480000
Bruno Guimarães,MF,Newcastle Utd,25,37,37,3263.0,36.3,7,8,15,7,0,0,9,0,4.8,4.8,6.4,11.2,0.19,0.22,0.41,0.19,0.13,0.18,0.13,0.31,160000,8320000
Bryan Gil,"FW,MF",Tottenham,22,11,2,209.0,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,0.00,0.00,0.00,0.00,0.32,0.09,0.32,0.41,40000,2080000
Bryan Mbeumo,FW,Brentford,23,25,22,1960.0,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,0.41,0.28,0.69,0.28,0.45,0.21,0.34,0.55,45000,2340000
Bukayo Saka,FW,Arsenal,21,35,35,2919.0,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,0.49,0.28,0.77,0.31,0.48,0.32,0.33,0.65,195000,10140000
