Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Weekly Wages,Annual Wages
Tariq Lamptey,"DF,FW",Brighton,22,19,10,914.0,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,0.00,0.30,0.30,0.00,0.04,0.12,0.04,0.16,35000,1820000
Tawanda Chirewa,"MF,FW",Wolves,19,8,1,145.0,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.00,0.00,0.00,0.00,0.10,0.02,0.10,0.12,,
Teden Mengi,DF,Luton Town,21,30,28,2469.0,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,0.04,0.00,0.04,0.04,0.02,0.01,0.02,0.03,10000,520000
Thiago Alcántara,MF,Liverpool,32,1,0,6.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200000,10400000
Thiago Silva,DF,Chelsea,38,31,28,2527.0,28.1,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.8,0.11,0.04,0.14,0.11,0.03,0.04,0.03,0.06,110000,5720000
Thilo Kehrer,"DF,MF",West Ham,26,4,0,22.0,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80000,4160000
Thomas Cannon,FW,Everton,20,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Thomas Kaminski,GK,Luton Town,30,38,38,3405.0,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000,1300000
Thomas Partey,"MF,DF",Arsenal,30,14,9,788.0,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,0.00,0.00,0.00,0.00,0.05,0.03,0.05,0.08,200000,10400000
Thomas Strakosha,GK,Brentford,28,2,1,135.0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000,1300000
Tim Iroegbunam,MF,Aston Villa,20,9,1,164.0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000,260000
Tim Ream,DF,Fulham,35,18,17,1503.0,16.7,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06,0.00,0.06,0.06,30000,1560000
Timo Werner,FW,Tottenham,27,13,10,809.0,9.0,2,3,5,2,0,0,1,0,3.7,3.7,2.7,6.4,0.22,0.33,0.56,0.22,0.41,0.30,0.41,0.72,165000,8580000
Timothy Castagne,DF,Fulham,27,34,29,2634.0,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,0.03,0.10,0.14,0.03,0.06,0.07,0.06,0.12,65000,3380000
Tom Cairney,MF,Fulham,32,34,14,1488.0,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,0.06,0.24,0.30,0.06,0.07,0.14,0.07,0.20,30000,1560000
Tom Davies,MF,Sheffield Utd,25,9,2,221.0,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,0.00,0.00,0.00,0.00,0.14,0.03,0.14,0.17,30000,1560000
Tom Lockyer,DF,Luton Town,28,14,14,1169.0,13.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,0.08,0.08,0.15,0.08,0.08,0.05,0.08,0.13,20000,1040000
Tommy Doyle,MF,Wolves,21,26,11,1222.0,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.06,10000,520000
Tomáš Souček,MF,West Ham,28,37,34,2870.0,31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,0.22,0.06,0.28,0.22,0.21,0.05,0.21,0.26,90000,4680000
Tosin Adarabioyo,DF,Fulham,25,20,18,1617.0,18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,0.11,0.00,0.11,0.11,0.04,0.01,0.04,0.05,40000,2080000
Toti Gomes,DF,Wolves,24,35,31,2772.0,30.8,1,3,4,1,0,0,7,0,1.6,1.6,1.2,2.8,0.03,0.10,0.13,0.03,0.05,0.04,0.05,0.09,10000,520000
Trent Alexander-Arnold,DF,Liverpool,24,28,25,2155.0,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,0.13,0.17,0.29,0.13,0.11,0.30,0.10,0.40,180000,9360000
Trevoh Chalobah,DF,Chelsea,24,13,10,952.0,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,0.09,0.00,0.09,0.09,0.02,0.01,0.02,0.02,50000,2600000
Tyler Adams,MF,Bournemouth,24,3,1,121.0,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,60000,3120000
Tyler Onyango,MF,Everton,20,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000,260000
Tyrick Mitchell,"DF,MF",Crystal Palace,23,37,37,3204.0,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,0.06,0.08,0.14,0.06,0.04,0.08,0.04,0.12,40000,2080000
Tyrone Mings,DF,Aston Villa,30,1,1,30.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.02,0.07,0.02,0.09,100000,5200000
Valentino Livramento,DF,Newcastle Utd,20,26,12,1314.0,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.8,1.2,0.07,0.00,0.07,0.07,0.03,0.05,0.03,0.08,50000,2600000
Valentín Barco,"DF,FW",Brighton,19,6,3,307.0,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,0.00,0.00,0.00,0.00,0.05,0.07,0.05,0.13,25000,1300000
Victor Lindelöf,DF,Manchester Utd,29,19,14,1328.0,14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,0.07,0.07,0.14,0.07,0.05,0.02,0.05,0.07,120000,6240000
Vinicius Souza,MF,Sheffield Utd,24,36,29,2668.0,29.6,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.9,0.03,0.00,0.03,0.03,0.02,0.01,0.02,0.03,30000,1560000
Virgil van Dijk,DF,Liverpool,32,36,36,3177.0,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,0.06,0.06,0.11,0.06,0.08,0.04,0.08,0.12,220000,11440000
Vitaliy Mykolenko,DF,Everton,24,28,28,2469.0,27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,0.07,0.00,0.07,0.07,0.06,0.03,0.06,0.09,58000,3016000
Vitaly Janelt,"MF,DF",Brentford,25,38,37,3054.0,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,0.03,0.09,0.12,0.03,0.05,0.14,0.05,0.19,30000,1560000
Vitinho,"DF,MF",Burnley,24,32,26,2314.0,25.7,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,0.00,0.08,0.08,0.00,0.06,0.05,0.06,0.11,25000,1300000
Vladimír Coufal,DF,West Ham,30,36,36,3132.0,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,0.00,0.20,0.20,0.00,0.01,0.11,0.01,0.12,35000,1820000
Wataru Endo,MF,Liverpool,30,29,20,1722.0,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,0.05,0.00,0.05,0.05,0.03,0.09,0.03,0.12,50000,2600000
Wes Foderingham,GK,Sheffield Utd,32,30,29,2649.0,29.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12500,650000
Will Hughes,MF,Crystal Palace,28,30,23,1891.0,21.0,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,0.00,0.05,0.05,0.00,0.02,0.05,0.02,0.07,35000,1820000
William Osula,FW,Sheffield Utd,19,21,9,786.0,8.7,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,0.00,0.00,0.00,0.00,0.19,0.01,0.19,0.20,12500,650000
William Saliba,DF,Arsenal,22,38,38,3420.0,38.0,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,0.05,0.03,0.08,0.05,0.04,0.01,0.04,0.05,190000,9880000
Willian,FW,Fulham,34,31,24,2053.0,22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,0.18,0.09,0.26,0.09,0.22,0.17,0.16,0.33,90000,4680000
Willy Boly,DF,Nott'ham Forest,32,20,18,1438.0,16.0,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,0.13,0.06,0.19,0.13,0.09,0.08,0.09,0.18,40000,2080000
Willy Kambwala,DF,Manchester Utd,18,8,3,330.0,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7500,390000
Wilson Odobert,"MF,FW",Burnley,18,29,25,2098.0,23.3,3,2,5,3,0,0,3,0,2.8,2.8,3.3,6.1,0.13,0.09,0.21,0.13,0.12,0.14,0.12,0.26,10000,520000
Yasser Larouci,DF,Sheffield Utd,22,11,6,531.0,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.09,10000,520000
Yehor Yarmoliuk,MF,Brentford,19,27,6,688.0,7.6,0,0,0,0,0,0,2,0,1.0,1.0,0.1,1.1,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.14,,
Yoane Wissa,FW,Brentford,26,34,29,2493.0,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,0.43,0.11,0.54,0.43,0.38,0.14,0.38,0.52,25000,1300000
Youri Tielemans,"MF,FW",Aston Villa,26,32,17,1622.0,18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,0.11,0.33,0.44,0.11,0.07,0.14,0.07,0.21,150000,7800000
Youssef Chermiti,FW,Everton,19,18,1,208.0,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,0.00,0.00,0.00,0.00,0.31,0.34,0.31,0.65,30000,1560000
Yves Bissouma,MF,Tottenham,26,28,26,2068.0,23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,0.00,0.00,0.00,0.00,0.06,0.02,0.06,0.08,55000,2860000
Zack Nelson,"MF,DF",Luton Town,18,2,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Zeki Amdouni,FW,Burnley,22,34,27,1953.0,21.7,5,1,6,4,1,1,2,0,5.8,5.0,1.4,6.5,0.23,0.05,0.28,0.18,0.27,0.07,0.23,0.30,30000,1560000
Álex Moreno,DF,Aston Villa,30,21,11,1031.0,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,0.17,0.00,0.17,0.17,0.10,0.10,0.10,0.20,35000,1820000
Đorđe Petrović,GK,Chelsea,23,23,22,1987.0,22.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000,1300000
Łukasz Fabiański,GK,West Ham,38,10,7,721.0,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65000,3380000
